"task_id","auc","average_precision","brier"
0,0.92,0.970509696451987,0.100252664016525
1,0.936666666666667,0.979104307995113,0.125699111697369
2,0.89,0.948305035644385,0.127035930282779
3,0.93,0.973900568731415,0.0724681763114304
4,0.873333333333333,0.91552345411692,0.124041361489458
5,0.91,0.954682388446144,0.0992439965485017
6,0.903333333333333,0.938875143860164,0.0978220474993652
7,0.89,0.953999055757945,0.114216146363865
8,0.923333333333333,0.968857025537448,0.0962594889668482
9,0.876666666666667,0.943967153719546,0.138914629880386
10,0.88,0.943485682047179,0.126655729271637
11,0.886666666666667,0.956296519968453,0.120150285202236
12,0.896666666666667,0.931516301985193,0.0983957154524362
13,0.88,0.944870531574443,0.117843109598395
14,0.936666666666667,0.977783302660257,0.0877245660137257
15,0.863333333333333,0.912510924763318,0.123013030142722
16,0.84,0.906831763688664,0.114059164551322
17,0.863333333333333,0.885866245383625,0.0954904189934108
18,0.886666666666667,0.944744549102154,0.126831526464667
19,0.88,0.945732234382678,0.106915863710848
20,0.87,0.925557139285045,0.0997505214088259
21,0.863333333333333,0.943717203150006,0.122681879205528
22,0.876666666666667,0.929632188519772,0.120418012671078
23,0.88,0.951343364297276,0.112526625812832
24,0.886666666666667,0.953728805521664,0.106275064101824
25,0.92,0.958009944244965,0.0860107028014314
26,0.91,0.945470125939017,0.124860692414972
27,0.933333333333333,0.976361536649545,0.100408701300339
28,0.896666666666667,0.93131721159635,0.107690731715268
29,0.913333333333333,0.960375767381783,0.0901050738159711
30,0.9,0.958732774572124,0.105630820649674
31,0.88,0.918386041175335,0.129848707713121
32,0.896666666666667,0.955494837371088,0.114830741762181
33,0.906666666666667,0.951395208312277,0.116689730191736
34,0.923333333333333,0.956353731580687,0.112009805767265
35,0.94,0.976181581881612,0.103436800240327
36,0.87,0.937803931748493,0.113068333182583
37,0.876666666666667,0.934882259562682,0.117194824945784
38,0.903333333333333,0.947011432858522,0.0913595546545367
39,0.926666666666667,0.973649635024599,0.11183939784639
40,0.92,0.96699022572038,0.0981091397824373
41,0.956666666666667,0.986050989283516,0.105360824855795
42,0.873333333333333,0.946559378122161,0.130717931281993
43,0.876666666666667,0.950309946155792,0.116428604801394
44,0.93,0.968642664015615,0.0855815132201165
45,0.843333333333333,0.933447800067135,0.0956454806629813
46,0.883333333333333,0.909436476950233,0.111550790016346
47,0.91,0.95734546435148,0.116833616040133
48,0.94,0.979927189363608,0.118162248896536
49,0.91,0.965237581484036,0.100870398396713
50,0.873333333333333,0.905359312702779,0.106503315597325
51,0.866666666666667,0.932296247461971,0.137884787396156
52,0.89,0.945007581101047,0.102404800189592
53,0.896666666666667,0.923749316622268,0.118442296895244
54,0.913333333333333,0.966128847081184,0.116463056719059
55,0.91,0.962388122971534,0.108171692321816
56,0.91,0.945470125939017,0.0951581268111283
57,0.933333333333333,0.973273827870917,0.0963876330549092
