"variant","donor","gene","wt_outgoing_weight","ko_outgoing_weight","absolute_wt_weight"
"primary","hoa2","NFKBIA",0.259,0,0.259
"primary","hoa2","ICAM1",0.208,0,0.208
"primary","hoa2","MT-ND1",-0.166,0,0.166
"primary","hoa2","MT-ATP6",-0.164,0,0.164
"primary","hoa2","HES1",0.163,0,0.163
"primary","hoa2","MT-ND4",-0.162,0,0.162
"primary","hoa2","MT-CO2",-0.159,0,0.159
"primary","hoa2","CXCL2",0.141,0,0.141
"primary","hoa2","MCL1",0.137,0,0.137
"primary","hoa2","MT-CO1",-0.136,0,0.136
"primary","hoa2","SELE",0.126,0,0.126
"primary","hoa2","KDM6B",0.119,0,0.119
"primary","hoa2","EGR1",0.118,0,0.118
"primary","hoa2","CKS2",0.116,0,0.116
"primary","hoa2","NR4A1",0.112,0,0.112
"primary","hoa2","MIR222HG",0.11,0,0.11
"primary","hoa2","TIPARP",0.106,0,0.106
"primary","hoa2","ADAMTS4",0.1,0,0.1
"primary","hoa2","ICAM4",0.1,0,0.1
"primary","hoa2","NSUN6",0.098,0,0.098
"primary","hoa2","MAP1LC3B",0.097,0,0.097
"primary","hoa2","SERPINE1",0.097,0,0.097
"primary","hoa2","CXCL3",0.096,0,0.096
"primary","hoa2","NR4A2",0.093,0,0.093
"primary","hoa2","ATF3",0.092,0,0.092
"primary","hoa2","LRG1",0.09,0,0.09
"primary","hoa2","MT2A",0.09,0,0.09
"primary","hoa2","SLC25A44",0.085,0,0.085
"primary","hoa2","SOD2",0.083,0,0.083
"primary","hoa2","EGR3",0.079,0,0.079
"primary","hoa2","RGS16",0.076,0,0.076
"primary","hoa2","AKAP12",0.075,0,0.075
"primary","hoa2","SEMA4A",0.073,0,0.073
"primary","hoa2","HBEGF",0.07,0,0.07
"primary","hoa2","IER3",0.069,0,0.069
"primary","hoa2","AC010359.3",0.068,0,0.068
"primary","hoa2","TNFAIP3",0.066,0,0.066
"primary","hoa2","C11orf96",0.064,0,0.064
"primary","hoa2","C2CD4B",0.064,0,0.064
"primary","hoa2","HMOX1",0.064,0,0.064
"primary","hoa2","PECAM1",-0.063,0,0.063
"primary","hoa2","MSX1",0.057,0,0.057
"primary","hoa2","CCL2",0.056,0,0.056
"primary","hoa2","VWF",-0.054,0,0.054
"primary","hoa2","ENG",-0.048,0,0.048
"primary","hoa2","ANKRD42",0.047,0,0.047
"primary","hoa2","FIS1",-0.047,0,0.047
"primary","hoa2","KCNQ1OT1",0.044,0,0.044
"primary","hoa2","CREB5",0.043,0,0.043
"primary","hoa2","RND1",0.042,0,0.042
"primary","hoa2","CD83",0.041,0,0.041
"primary","hoa2","ADAMTS1",0.039,0,0.039
"primary","hoa2","DDHD1",0.036,0,0.036
"primary","hoa2","YME1L1",0.034,0,0.034
"primary","hoa2","ADAMTS9",0.033,0,0.033
"primary","hoa2","COX5A",0.033,0,0.033
"primary","hoa2","NFKB1",0.033,0,0.033
"primary","hoa2","BTNL9",-0.032,0,0.032
"primary","hoa2","MT1X",0.029,0,0.029
"primary","hoa2","CD300LG",-0.027,0,0.027
"primary","hoa2","CNKSR3",0.027,0,0.027
"primary","hoa2","MIR22HG",0.027,0,0.027
"primary","hoa2","HSPE1",0.026,0,0.026
"primary","hoa2","NFE2L2",0.026,0,0.026
"primary","hoa2","KDR",-0.025,0,0.025
"primary","hoa2","SEMA3A",0.025,0,0.025
"primary","hoa2","ATP13A3",0.024,0,0.024
"primary","hoa2","ATP5MC1",0.024,0,0.024
"primary","hoa2","NDUFA1",0.024,0,0.024
"primary","hoa2","PRDX5",-0.024,0,0.024
"primary","hoa2","DUSP4",0.023,0,0.023
"primary","hoa2","B3GNT5",0.022,0,0.022
"primary","hoa2","EMP3",0.022,0,0.022
"primary","hoa2","ERO1B",0.022,0,0.022
"primary","hoa2","GIGYF2",0.022,0,0.022
"primary","hoa2","LTBP4",0.022,0,0.022
"primary","hoa2","PHLDA1",0.022,0,0.022
"primary","hoa2","UQCRB",-0.022,0,0.022
"primary","hoa2","COX4I1",0.021,0,0.021
"primary","hoa2","HIF1A",0.021,0,0.021
"primary","hoa2","CRIP1",0.02,0,0.02
"primary","hoa2","MGP",0.02,0,0.02
"primary","hoa2","PMAIP1",0.02,0,0.02
"primary","hoa2","ARL15",0.019,0,0.019
"primary","hoa2","BNIP3L",0.019,0,0.019
"primary","hoa2","SOX17",0.019,0,0.019
"primary","hoa2","CALCOCO2",0.018,0,0.018
"primary","hoa2","RELA",0.018,0,0.018
"primary","hoa2","SRGN",0.018,0,0.018
"primary","hoa2","VEGFC",0.018,0,0.018
"primary","hoa2","ANKRD29",-0.017,0,0.017
"primary","hoa2","COX7A2",0.017,0,0.017
"primary","hoa2","ADGRG6",-0.016,0,0.016
"primary","hoa2","C7",-0.016,0,0.016
"primary","hoa2","DUSP2",0.016,0,0.016
"primary","hoa2","FILIP1",-0.016,0,0.016
"primary","hoa2","GABPA",0.016,0,0.016
"primary","hoa2","GBP1",0.016,0,0.016
