"donor","gene","wt_outgoing_weight","ko_outgoing_weight","absolute_wt_weight"
"hoa3","ZNF224",-0.001,0,0.001
"hoa3","ADAMTS6",0,0,0
"hoa3","ADM",0,0,0
"hoa3","AFG3L2",0,0,0
"hoa3","AQP7",0,0,0
"hoa3","ARL4C",0,0,0
"hoa3","ATP5F1B",0,0,0
"hoa3","BCL2L1",0,0,0
"hoa3","BGN",0,0,0
"hoa3","BNIP3L",0,0,0
"hoa3","CCN2",0,0,0
"hoa3","CXCR4",0,0,0
"hoa3","CYP1B1",0,0,0
"hoa3","DNAJA4",0,0,0
"hoa3","DNM1L",0,0,0
"hoa3","FKBP8",0,0,0
"hoa3","FLT1",0,0,0
"hoa3","GABARAP",0,0,0
"hoa3","GABRB2",0,0,0
"hoa3","IFIT2",0,0,0
"hoa3","IFIT3",0,0,0
"hoa3","IGFBP5",0,0,0
"hoa3","INF2",0,0,0
"hoa3","INHBB",0,0,0
"hoa3","LATS2",0,0,0
"hoa3","LINC00472",0,0,0
"hoa3","MAP1B",0,0,0
"hoa3","MFF",0,0,0
"hoa3","MFN2",0,0,0
"hoa3","MT1E",0,0,0
"hoa3","MT1X",0,0,0
"hoa3","MTOR",0,0,0
"hoa3","OPA1",0,0,0
"hoa3","PHB2",0,0,0
"hoa3","PINK1",0,0,0
"hoa3","PMPCA",0,0,0
"hoa3","RND3",0,0,0
"hoa3","RNPC3",0,0,0
"hoa3","RRN3P1",0,0,0
"hoa3","SLC5A3",0,0,0
"hoa3","SQSTM1",0,0,0
"hoa3","SYBU",0,0,0
"hoa3","TAGLN",0,0,0
"hoa3","TAX1BP1",0,0,0
"hoa3","TEAD1",0,0,0
"hoa3","TFAM",0,0,0
"hoa3","THBS1",0,0,0
"hoa3","THY1",0,0,0
"hoa3","TLCD2",0,0,0
"hoa3","TXN2",0,0,0
"hoa3","UQCRC1",0,0,0
"hoa3","YAP1",0,0,0
