module,Liao_KW_p,Liao_KW_method,ONFH_3A_vs_HOA_median_difference,ONFH_3A_vs_HOA_effect,ONFH_3A_vs_HOA_hodges_lehmann,ONFH_3A_vs_HOA_rank_biserial,ONFH_3A_vs_HOA_p,ONFH_3A_vs_HOA_minimum_p_no_ties,ONFH_4_vs_ONFH_3A_median_difference,ONFH_4_vs_ONFH_3A_effect,ONFH_4_vs_ONFH_3A_hodges_lehmann,ONFH_4_vs_ONFH_3A_rank_biserial,ONFH_4_vs_ONFH_3A_p,ONFH_4_vs_ONFH_3A_minimum_p_no_ties,ONFH_4_vs_HOA_median_difference,ONFH_4_vs_HOA_effect,ONFH_4_vs_HOA_hodges_lehmann,ONFH_4_vs_HOA_rank_biserial,ONFH_4_vs_HOA_p,ONFH_4_vs_HOA_minimum_p_no_ties,SONFH_libraries_vs_HOA_effect_descriptive,Liao_KW_fdr,ONFH_3A_vs_HOA_fdr,ONFH_4_vs_ONFH_3A_fdr,ONFH_4_vs_HOA_fdr
Mito_fission,0.4392857142857143,"exhaustive permutation, tie-corrected",0.007759849276572826,0.007759849276572826,0.0061248832438699705,0.7777777777777777,0.2,0.1,-0.0007349562926824774,-0.0007349562926824774,-0.0007349562926824774,-0.11111111111111116,1.0,0.1,0.007024892983890349,0.007024892983890349,0.007024892983890349,0.33333333333333326,0.7,0.1,0.03249563855967951,0.7660714285714285,0.6000000000000001,1.0,0.8399999999999999
Mito_fusion,0.5107142857142857,"exhaustive permutation, tie-corrected",-0.01664221941161069,-0.01664221941161069,-0.013143173513087875,-0.33333333333333337,0.7,0.1,0.004188350654269268,0.004188350654269268,0.004188350654269268,0.33333333333333326,0.7,0.1,-0.012453868757341422,-0.012453868757341422,-0.012453868757341422,-0.7777777777777778,0.2,0.1,0.009042380199882646,0.7660714285714285,1.0,1.0,0.4000000000000001
Mitophagy_core,0.9928571428571429,"exhaustive permutation, tie-corrected",0.009561036726381957,0.009561036726381957,0.009561036726381957,0.11111111111111116,1.0,0.1,0.00024630795769109426,0.00024630795769109426,-0.00889007175313452,-0.11111111111111116,1.0,0.1,0.00980734468407305,0.00980734468407305,0.00980734468407305,0.11111111111111116,1.0,0.1,0.023956387209692502,0.9928571428571429,1.0,1.0,1.0
cGAS_STING,0.23214285714285715,"exhaustive permutation, tie-corrected",0.04038674856465068,0.04038674856465068,0.0242804007364998,0.7777777777777777,0.2,0.1,-0.005687274795662037,-0.005687274795662037,-0.0027628350378096737,-0.11111111111111116,1.0,0.1,0.034699473768988645,0.034699473768988645,0.025012836474255555,0.7777777777777777,0.2,0.1,0.012636860000492828,0.7660714285714285,0.6000000000000001,1.0,0.4000000000000001
EC_inflammation,0.7214285714285714,"exhaustive permutation, tie-corrected",0.15940105313239472,0.15940105313239472,0.15940105313239472,0.11111111111111116,1.0,0.1,0.03278004194225992,0.03278004194225992,0.03278004194225992,0.11111111111111116,1.0,0.1,0.19218109507465464,0.19218109507465464,0.19218109507465464,0.5555555555555556,0.4,0.1,-0.11542224706070067,0.8657142857142857,1.0,1.0,0.6000000000000001
YAP_mTOR,0.5107142857142857,"exhaustive permutation, tie-corrected",-0.002599777383934812,-0.002599777383934812,-0.002599777383934812,-0.33333333333333337,0.7,0.1,0.010507341858621635,0.010507341858621635,0.010507341858621635,0.33333333333333326,0.7,0.1,0.007907564474686823,0.007907564474686823,0.007448009680639522,0.7777777777777777,0.2,0.1,0.02337909825991963,0.7660714285714285,1.0,1.0,0.4000000000000001
