,baseMean,log2FoldChange,inferential_status
ACOT7,248.72904992797092,2.9957616400411005,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
HIF3A,46.40873430989563,-3.4587686265874216,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
DPYSL3,614.4553959478086,3.226850754468691,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
NRGN,427.2287709696905,2.3957828744528324,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
SEMA6D,123.60239526765768,-3.2425846479483504,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RPL36A,1758.3642575043625,-1.8750114443412174,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
CYB561D2,20.978601688686073,-4.782886196112544,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
SCNN1B,28.55092306889809,-5.076392498118694,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
PLAT,3170.781538326878,-3.314874177611093,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
LTC4S,676.2258153995416,-1.8339061805241874,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RPS23,22065.793578023477,-1.5377702636405002,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
EDIL3,319.59004573396425,1.9452887504784613,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
ITGB3,138.40879427161158,2.860226492900594,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
GPIHBP1,336.9567945608862,-2.6527588163312688,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
C11orf96,2427.650333974868,-2.4066828614662734,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
CYB561D2.1,49.86406812569275,3.8257865158418882,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
S100A4,1263.1941338196004,2.8058808611646002,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
PXDN,947.1227221281124,2.1368764156487097,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
OSBPL1A,332.8949883109136,-1.9399015722942898,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
CCL14,1722.7719950817143,-2.6696476927489927,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RAB31,349.4331069833976,2.2011415250147164,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
APOE,303.0690488973077,3.2567332397451163,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
ZNF704,126.12602862123218,-2.2785621399878244,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
C1orf54,652.7602760828767,1.9809944021167925,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
COL5A1,195.96965446180366,3.8906675805288153,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
CEBPD,1891.6304151625498,-2.2337822274920036,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
KLHL5,580.1792871227885,1.9736675526429013,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
JUNB,12203.233733201369,-2.130045140531181,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RPS17,1190.8521400110694,-1.5181968357342275,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
INSIG1,1015.4812780376548,-2.844863703096509,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
MMP2,1372.2440266718106,2.112608594472631,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
HMOX1,553.7399149104037,-3.0331845102942347,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
STXBP6,46.30510699797931,-4.340196956444918,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
SCARB1,79.00419640243862,-2.353315298385402,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
COL4A1,7725.964445371798,1.7561295317007346,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
CD276,384.69633213672057,2.208932825220462,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
COL3A1,2658.2309541740283,5.115248954448496,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
TMEM88,394.55893224101584,-2.5693371681153403,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
SELENOP,1147.9325195458437,-2.5319682007169972,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
