repeat,AUC,average_precision
0,0.8833333333333333,0.9461313336092392
1,0.8466666666666667,0.9380751824886351
2,0.8233333333333333,0.9085303836056009
3,0.92,0.971129521800594
4,0.8966666666666666,0.9606499037653575
