perm_id,perm_auc,perm_repeat_auc_mean
0,0.5099999999999999,0.5366666666666667
1,0.3666666666666667,0.398
2,0.7933333333333333,0.7586666666666666
3,0.8466666666666667,0.8393333333333335
4,0.39,0.4453333333333333
5,0.6900000000000001,0.6386666666666667
6,0.7566666666666666,0.6866666666666666
7,0.6166666666666666,0.5586666666666666
8,0.44000000000000006,0.47666666666666674
9,0.44666666666666666,0.4753333333333334
10,0.49000000000000005,0.4373333333333333
11,0.6866666666666666,0.6839999999999999
12,0.51,0.5246666666666666
13,0.4066666666666667,0.442
14,0.45666666666666667,0.4746666666666666
15,0.44666666666666666,0.4806666666666666
16,0.7033333333333334,0.6493333333333333
17,0.4149999999999999,0.45933333333333337
18,0.4833333333333334,0.4720000000000001
19,0.48,0.45866666666666667
20,0.5066666666666666,0.506
21,0.4149999999999999,0.38933333333333336
22,0.29833333333333334,0.4213333333333334
23,0.6166666666666667,0.576
24,0.71,0.6846666666666665
25,0.51,0.4826666666666667
26,0.6433333333333333,0.6220000000000001
27,0.5700000000000001,0.508
28,0.78,0.7866666666666667
29,0.26666666666666666,0.40933333333333327
30,0.63,0.602
31,0.7200000000000001,0.694
32,0.2366666666666667,0.35266666666666663
33,0.245,0.402
34,0.41,0.42666666666666664
35,0.51,0.5026666666666667
36,0.8800000000000001,0.8720000000000001
37,0.6200000000000001,0.5653333333333334
38,0.37,0.4373333333333333
39,0.6333333333333333,0.6026666666666667
40,0.43833333333333335,0.42266666666666663
41,0.31333333333333335,0.40933333333333327
42,0.4833333333333333,0.5146666666666666
43,0.5800000000000001,0.5746666666666667
44,0.22666666666666666,0.3853333333333334
45,0.6866666666666666,0.6453333333333333
46,0.23666666666666666,0.39
47,0.71,0.7186666666666666
48,0.5399999999999999,0.4640000000000001
49,0.4633333333333334,0.4706666666666667
50,0.6866666666666666,0.6986666666666667
51,0.49333333333333335,0.45999999999999996
52,0.4166666666666667,0.42466666666666664
53,0.7733333333333333,0.7440000000000001
54,0.8333333333333334,0.7626666666666667
55,0.55,0.4833333333333334
56,0.6033333333333333,0.5726666666666667
57,0.5466666666666666,0.5526666666666666
58,0.48,0.48266666666666663
59,0.4,0.45600000000000007
60,0.2733333333333333,0.4053333333333334
61,0.6233333333333333,0.5793333333333333
62,0.3416666666666667,0.4166666666666667
63,0.84,0.8093333333333333
64,0.4666666666666667,0.4633333333333334
65,0.5066666666666666,0.506
66,0.33666666666666667,0.43133333333333335
67,0.3416666666666667,0.4126666666666667
68,0.45999999999999996,0.4533333333333333
69,0.38,0.3993333333333333
70,0.33,0.4293333333333333
71,0.45000000000000007,0.5073333333333333
72,0.36333333333333334,0.43
73,0.44333333333333325,0.43800000000000006
74,0.54,0.51
