"fit_id","pathway","NES","pval","padj","size","leading_edge_count","leading_edge_genes"
"omit_hoa2","HALLMARK_INFLAMMATORY_RESPONSE",1.58330668325204,0.000457299745489863,0.00249832950992385,178,39,"APLNR;SELL;CCL20;CYBB;CD69;CXCL10;IL10;CSF3R;IL10RA;CCL5;LCP2;LY6E;RNF144B;LCK;CD48;PDE4B;NLRP3;IL2RB;ITGA5;ABCA1;KCNJ2;OSM;FPR1;MMP14;F3;TIMP1;IL1B;CSF3;TLR1;IL18;RASGRP1;HAS2;IL7R;PTAFR;TNFAIP6;GPR183;MSR1;SLC31A2;LAMP3"
"omit_hoa2","HALLMARK_INTERFERON_ALPHA_RESPONSE",1.71010254413481,0.000692463856157355,0.00314756298253343,94,40,"SELL;CXCL10;ISG15;LGALS3BP;LY6E;RSAD2;NCOA7;OAS1;IFI27;HERC6;CMPK2;IFI44L;TRIM5;USP18;SAMD9;OASL;GMPR;C1S;EPSTI1;CD74;IFIT3;LAMP3;IFIT2;MX1;SAMD9L;IFITM1;TRIM14;STAT2;IFI44;PARP12;PROCR;TRAFD1;SP110;PSMA3;NMI;IFITM3;IL4R;TENT5A;HELZ2;CD47"
"omit_hoa3","HALLMARK_INTERFERON_GAMMA_RESPONSE",2.34292456438904,3.47944261004869e-16,1.73972130502435e-14,190,84,"CXCL9;CXCL10;SAMHD1;C1R;OAS3;IL10RA;ISG15;LY6E;RSAD2;HLA-DRB1;CSF2RB;MX2;SELP;CMPK2;TNFAIP6;EPSTI1;HERC6;LCP2;SERPING1;IFI44L;IFI27;RNF213;LGALS3BP;IFIT1;OAS2;OASL;IL18BP;GZMA;PTPN2;IL4R;SOCS1;PSMA2;IL2RB;PARP14;MYD88;CCL5;USP18;PDE4B;IFIH1;XAF1;IFIT2;PTGS2;MX1;IFIT3;CFH;CASP3;C1S;ZBP1;SP110;PLSCR1;CD69;HELZ2;IFITM3;SAMD9L;PFKP;PTPN6;TRIM14;IFI44;SECTM1;ADAR;HIF1A;FPR1;STAT2;TNFAIP2;PSMA3;CD74;CASP4;PSMB8;ISG20;FCGR1A;CASP7;CMTR1;ST8SIA4;PTPN1;NMI;RTP4;STAT4;TRIM25;EIF2AK2;CD274;MVP;IRF7;TAP1;VCAM1"
"omit_hoa3","HALLMARK_ALLOGRAFT_REJECTION",2.28021093012883,3.25196409547756e-13,8.12991023869391e-12,178,72,"MMP9;CXCL9;ITGB2;CD3D;IL10;GZMB;CD2;PTPRC;CD3E;HLA-DOA;CD3G;SPI1;CTSS;ITGAL;LCP2;ITK;NCK1;CD96;NLRP3;TLR2;PRF1;IL2RG;HCLS1;WAS;IL1B;CD8B;BCL10;HLA-DMB;GZMA;CD1D;IL4R;SOCS1;IL2RB;EIF3J;IFNGR1;IGSF6;CRTAM;NCF4;CCL5;CD8A;HLA-DRA;CCR5;LY75;INHBB;KLRD1;GBP2;FYB1;TIMP1;LTB;CD7;CD247;GPR65;CCL4;NME1;PTPN6;UBE2D1;HIF1A;C2;CXCR3;CCR1;CD74;TGFB2;BCAT1;TGFB1;BRCA1;TLR1;IL18;LCK;ST8SIA4;CCND3;ELF4;STAT4"
"omit_hoa3","HALLMARK_INTERFERON_ALPHA_RESPONSE",2.39001528793649,6.13918329647725e-12,1.02319721607954e-10,94,51,"CXCL10;SELL;ISG15;LY6E;RSAD2;CMPK2;EPSTI1;HERC6;IFI44L;IFI27;OAS1;LGALS3BP;NCOA7;IFITM1;OASL;IL4R;PARP14;USP18;IFIH1;IFIT2;SAMD9;MX1;IFIT3;TRIM5;GBP2;C1S;SP110;PLSCR1;HELZ2;LAMP3;IFITM3;SAMD9L;GMPR;TRIM14;IFI44;ADAR;STAT2;PSMA3;CD74;TENT5A;NUB1;PSMB8;ISG20;CMTR1;NMI;RTP4;PARP9;TRIM25;EIF2AK2;IRF7;TAP1"
"omit_hoa3","HALLMARK_INFLAMMATORY_RESPONSE",2.19080553766112,1.01194791273951e-11,1.26493489092439e-10,177,81,"CXCL9;CXCL10;SELL;IL10;PTAFR;CCL20;CYBB;TNFRSF9;IL10RA;AQP9;LY6E;CSF3R;TNFAIP6;ABCA1;F3;LCP2;NLRP3;TLR2;IFITM1;HAS2;IL1B;SLC31A2;KCNJ2;OSMR;IL4R;CD48;IL1R1;CSF3;CCR7;IL2RB;RGS1;IL7R;RASGRP1;CCL5;APLNR;PDE4B;PVR;ITGA5;RNF144B;GPR183;GPR132;CXCL8;TIMP1;HRH1;IL18R1;CD69;BDKRB1;LAMP3;SLC7A1;ITGB3;SGMS2;IL1A;HIF1A;PTGIR;FPR1;ATP2A2;TLR1;EDN1;IL18;LCK;MET;C5AR1;SLC4A4;NMI;RTP4;KLF6;EIF2AK2;BEST1;PTPRE;IRF7;MMP14;MSR1;GCH1;PROK2;NAMPT;SERPINE1;MEFV;ACVR2A;TPBG;TAPBP;GNA15"
"omit_onfh1","HALLMARK_INFLAMMATORY_RESPONSE",2.51880607030866,1.54028717746251e-17,7.70143588731255e-16,177,75,"CCL20;SELL;CSF3;IL10;CYBB;TIMP1;LAMP3;PDE4B;LY6E;CSF3R;LCP2;IL10RA;FPR1;KLF6;KCNJ2;PTPRE;IFITM1;C5AR1;NLRP3;GPR183;PTAFR;ABCA1;ITGA5;HIF1A;F3;CXCL10;TNFAIP6;HAS2;AQP9;GCH1;IRF7;MMP14;CD55;IL1B;TNFRSF9;GPR132;IL2RB;IL4R;CCR7;SPHK1;EDN1;ATP2A2;OSM;ADRM1;PVR;TLR1;TLR2;CCL2;CXCL8;SLC7A1;APLNR;RASGRP1;EIF2AK2;MXD1;CD48;SERPINE1;TAPBP;IL18;LIF;GNAI3;CCL5;GNA15;SELENOS;ATP2B1;BEST1;OSMR;EMP3;PTGIR;SLC31A2;HRH1;ITGB3;NFKB1;PROK2;MARCO;PTGER4"
"omit_onfh1","HALLMARK_INTERFERON_GAMMA_RESPONSE",2.41213455264525,4.37308611356773e-16,1.09327152839193e-14,189,82,"PTGS2;PDE4B;ISG15;LGALS3BP;LY6E;IFI27;HLA-DRB1;LCP2;IL10RA;OAS3;FPR1;CSF2RB;SELP;C1R;HERC6;RSAD2;HIF1A;OAS2;RNF213;CMPK2;SERPING1;IL18BP;IFIT1;ISG20;TNFAIP2;IFITM3;CXCL10;PSMA2;USP18;OASL;IFI44L;MX2;TNFAIP6;GCH1;IRF7;HELZ2;MX1;IFIT3;SAMHD1;SOCS1;IL2RB;IL4R;VCAM1;C1S;FCGR1A;MTHFD2;XAF1;EPSTI1;IFIT2;IFI44;IFIH1;GZMA;SP110;CCL2;PSME2;CASP3;STAT2;TAP1;PNP;EIF2AK2;IFI35;CD74;BTG1;MVP;MYD88;TAPBP;ST8SIA4;SOD2;PTPN2;CCL5;PTPN1;ADAR;CFH;ZBP1;SLAMF7;FGL2;NFKB1;PARP14;PSMA3;BPGM;TRIM14;IFNAR2"
"omit_onfh1","HALLMARK_ALLOGRAFT_REJECTION",2.28600528215875,1.71509193711271e-13,2.85848656185452e-12,179,85,"MMP9;IL10;ITGB2;TIMP1;LCP2;CD3D;CD2;NME1;SPI1;NLRP3;INHBB;CD3E;HIF1A;CD8B;EIF3J;NCF4;IGSF6;GZMB;CTSS;CAPG;HCLS1;TGFB1;WAS;IRF7;BCL10;IL1B;SOCS1;IL2RB;IL4R;EIF5A;ITGAL;HLA-DOA;IL2RG;PTPRC;LTB;PRF1;HLA-DMB;TLR1;HLA-DRA;GZMA;TLR2;CCL2;CCND2;CRTAM;TAP1;C2;CD1D;CD74;LY86;TAPBP;GPR65;ST8SIA4;CD3G;CXCR3;CD8A;IL18;HLA-DOB;CD7;LIF;GBP2;CCL5;ITK;CCR5;BCAT1;CCR1;FCGR2B;ELF4;IFNAR2;CD96;NCK1;FYB1;CCL4;BRCA1;CD247;STAT1;UBE2D1;ICAM1;CD47;CDKN2A;PTPN6;LCK;EIF4G3;RIPK2;FLNA;THY1"
"omit_onfh1","HALLMARK_INTERFERON_ALPHA_RESPONSE",2.27805529067621,3.03049742434876e-09,3.03049742434876e-08,94,46,"SELL;LAMP3;ISG15;LGALS3BP;LY6E;IFI27;IFITM1;HERC6;OAS1;RSAD2;CMPK2;ISG20;IFITM3;CXCL10;NCOA7;USP18;OASL;IFI44L;IRF7;HELZ2;MX1;IFIT3;TENT5A;IL4R;C1S;EPSTI1;IFIT2;IFI44;IFIH1;GMPR;SP110;PSME2;STAT2;TAP1;EIF2AK2;IFI35;CD74;SAMD9;GBP2;ADAR;ELF1;TRIM5;HLA-C;PARP14;PSMA3;TRIM14"
"omit_onfh2","HALLMARK_ALLOGRAFT_REJECTION",2.49021205278189,3.10010300475531e-16,1.55005150237766e-14,179,79,"MMP9;GZMB;ITGB2;CD3D;CD3G;CD2;PRF1;IL10;TIMP1;IL2RG;HLA-DOA;CD3E;ITK;SPI1;HCLS1;INHBB;LCP2;GZMA;PTPRC;ITGAL;CRTAM;CD8B;CD247;EIF3J;WAS;KLRD1;CD1D;NME1;CD7;NCK1;IL4R;CD74;IL1B;IGSF6;CD96;IFNGR1;CD8A;ZAP70;CCL4;CCL5;SOCS1;HLA-DRA;HLA-DMB;EIF5A;BCAT1;LY75;LCK;CXCR3;CTSS;SIT1;TGFB1;IL2RB;HLA-DMA;LTB;GPR65;FLNA;PRKCB;RPS19;RPL39;CCR5;TLR6;CD28;HIF1A;NLRP3;CCR1;NCR1;CCND3;ELF4;BCL10;CSK;THY1;CD40LG;STAT4;CCR2;CDKN2A;ETS1;HLA-DQA1;IL18RAP;LIF"
"omit_onfh2","HALLMARK_INFLAMMATORY_RESPONSE",1.50736278917556,0.00265627326559441,0.0102164356369016,178,45,"CCL20;IL10;SELL;TIMP1;CXCL10;F3;PTPRE;IL10RA;MMP14;ITGA5;LCP2;APLNR;CD48;RNF144B;TNFAIP6;PDE4B;LAMP3;IL4R;KLF6;RASGRP1;IL1B;SLC31A2;CCL5;CD69;CCR7;KCNJ2;SELENOS;CSF3;IL18R1;LCK;CX3CL1;IL2RB;RGS1;CYBB;SERPINE1;ITGB8;IL7R;CSF3R;LY6E;PIK3R5;HIF1A;NLRP3;ABCA1;PTAFR;AQP9"
"omit_onfh2","HALLMARK_INTERFERON_GAMMA_RESPONSE",1.22183512197425,0.10016694490818,0.172701629152035,190,57,"HLA-DRB1;CXCL10;ISG15;PSMA2;IL10RA;C1R;LCP2;LGALS3BP;GZMA;TNFAIP6;CSF2RB;PDE4B;IL4R;CD74;ISG20;ZBP1;CCL5;SOCS1;CD69;IL18BP;PTGS2;IL2RB;LYSMD2;IFITM3;CFH;HLA-DMA;CD274;IFITM2;CASP3;CASP7;LY6E;PSMA3;MVP;HIF1A;TNFAIP2;MTHFD2;CIITA;STAT4;RNF213;SAMHD1;RSAD2;MYD88;HLA-DQA1;TOR1B;PTPN6;ITGB7;TAPBP;PNP;OGFR;IRF4;NMI;XCL1;CD38;SERPING1;NCOA3;SELP;IFI44L"
"omit_onfh2","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.89431301439114,0.677137870855148,0.736019424842552,94,9,"SELL;CXCL10;ISG15;LGALS3BP;LAMP3;IL4R;CD74;ISG20;NCOA7"
"omit_onfh3","HALLMARK_ALLOGRAFT_REJECTION",2.46857577157374,3.74437465452509e-16,1.20611781350634e-14,177,63,"ITGB2;MMP9;CD3D;HLA-DQA1;GZMB;CD2;CD3E;KLRD1;HLA-DOA;PTPRC;ITGAL;CD3G;PRF1;CD8B;WAS;IL10;CRTAM;IL2RG;GZMA;CD1D;ITK;NCF4;NCK1;NLRP3;GPR65;CD247;HLA-DRA;LCP2;IFNGR1;LY75;CD8A;HLA-DMB;LTB;IL2RB;IGSF6;CD96;CCL5;PTPN6;IL18;CCND3;HCLS1;CCL4;LCK;SPI1;BRCA1;CCND2;SIT1;TLR1;SOCS1;HLA-DMA;LY86;CTSS;B2M;CD74;ZAP70;CD7;STAT1;HLA-DOB;C2;FYB1;IFNG;CD47;IRF4"
"omit_onfh3","HALLMARK_INTERFERON_GAMMA_RESPONSE",2.41693597221797,7.23670688103802e-16,1.20611781350634e-14,190,78,"HLA-DQA1;CXCL10;LY6E;CD69;OAS3;IL10RA;SAMHD1;HLA-DRB1;IFIT1;RSAD2;RNF213;ISG15;IFI27;HERC6;IFI44L;EPSTI1;GZMA;CMPK2;XAF1;USP18;LGALS3BP;OAS2;MX2;IFIT2;LCP2;SAMD9L;IFI44;ZBP1;IL2RB;IFIT3;SERPING1;EIF2AK2;CCL5;PARP14;HELZ2;MX1;PTPN6;OASL;STAT2;SELP;PSMA2;C1R;SOCS1;FCGR1A;MYD88;IFIH1;IFI35;SLAMF7;TRIM14;HLA-DMA;B2M;PTGS2;CD74;NLRC5;STAT1;CIITA;CD274;TRIM25;C1S;ADAR;NMI;PSMB8;IRF4;IL18BP;LAP3;CSF2RB;DDX60;APOL6;STAT4;PML;TAP1;FPR1;PDE4B;CASP7;KLRK1;NCOA3;TRAFD1;PTPN2"
"omit_onfh3","HALLMARK_INTERFERON_ALPHA_RESPONSE",2.49818756898715,1.54326344657512e-13,1.9290793082189e-12,94,43,"CXCL10;SELL;LY6E;RSAD2;ISG15;IFI27;HERC6;IFI44L;EPSTI1;SAMD9;CMPK2;OAS1;USP18;LGALS3BP;IFIT2;SAMD9L;IFI44;IFIT3;TENT5A;EIF2AK2;IFITM1;PARP14;HELZ2;MX1;NCOA7;OASL;STAT2;TRIM5;LAMP3;IFIH1;IFI35;TRIM14;B2M;CD74;TRIM25;C1S;ADAR;NMI;PSMB8;CD47;GMPR;LAP3;DDX60"
"omit_onfh3","HALLMARK_INFLAMMATORY_RESPONSE",1.6016385584556,0.000451006642962249,0.00132649012635956,177,48,"CXCL10;CD48;CYBB;SELL;CCL20;LY6E;CSF3R;CD69;IL10RA;RNF144B;IL10;RGS1;NLRP3;SLC31A2;LCP2;RASGRP1;IL2RB;PTAFR;EIF2AK2;CCL5;IFITM1;ABCA1;HAS2;IL18;MSR1;LCK;GPR132;GPR183;LAMP3;APLNR;TLR1;IL7R;PROK2;CX3CL1;NMI;EDN1;FPR1;PDE4B;EMP3;PTGER4;C3AR1;CSF3;OSM;TNFRSF9;CSF1;MARCO;C5AR1;SLC4A4"
