"pathway","n_omissions","n_positive_nes","n_fdr_below_0_05","nes_min","nes_median","nes_max","padj_min","padj_median","padj_max","full_nes","full_padj","full_leading_edge_count"
"HALLMARK_ALLOGRAFT_REJECTION",6,6,6,2.28021093012883,2.39388148949887,2.64789959876409,1.17889089512119e-21,8.69665077004124e-14,8.12991023869391e-12,2.50116412719673,1.01099369713304e-16,81
"HALLMARK_INFLAMMATORY_RESPONSE",6,6,6,1.50736278917556,1.89622204805836,2.51880607030866,7.70143588731255e-16,0.000663245126426523,0.0102164356369016,2.17650096041075,1.2277822355151e-09,74
"HALLMARK_INTERFERON_ALPHA_RESPONSE",6,6,5,0.89431301439114,2.31742047264231,2.49818756898715,1.9290793082189e-12,1.54385517350269e-08,0.736019424842552,2.32157244663035,3.15384393051439e-09,43
"HALLMARK_INTERFERON_GAMMA_RESPONSE",6,6,5,1.22183512197425,2.37752955851714,2.49811719909633,8.54666424303179e-19,1.47291955926534e-14,0.172701629152035,2.37186831824453,5.68801119650753e-14,79
