"pathway","driver_rank","gene","stat"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",6,"ISG15",2.43579269590033
"HALLMARK_INTERFERON_GAMMA_RESPONSE",7,"LCP2",2.3114684898599
"HALLMARK_INTERFERON_GAMMA_RESPONSE",8,"OAS3",2.22580958886748
"HALLMARK_INTERFERON_GAMMA_RESPONSE",9,"SAMHD1",2.21881965357622
"HALLMARK_INTERFERON_GAMMA_RESPONSE",10,"RSAD2",2.11283917648543
"HALLMARK_INTERFERON_GAMMA_RESPONSE",11,"GZMA",2.04021998440026
"HALLMARK_INTERFERON_GAMMA_RESPONSE",12,"C1R",2.02655733533858
"HALLMARK_INTERFERON_GAMMA_RESPONSE",13,"IFI27",2.01289878936244
"HALLMARK_INTERFERON_GAMMA_RESPONSE",14,"PSMA2",1.91695990112664
"HALLMARK_INTERFERON_GAMMA_RESPONSE",15,"PDE4B",1.89795680915456
"HALLMARK_INTERFERON_GAMMA_RESPONSE",16,"RNF213",1.86665937209681
"HALLMARK_INTERFERON_GAMMA_RESPONSE",17,"IFIT1",1.85128381739292
"HALLMARK_INTERFERON_GAMMA_RESPONSE",18,"CSF2RB",1.82578213929779
"HALLMARK_INTERFERON_GAMMA_RESPONSE",19,"MX2",1.82432919004724
"HALLMARK_INTERFERON_GAMMA_RESPONSE",20,"HERC6",1.79753411838638
