"fit_id","pathway","NES","pval","padj","size","leading_edge_count","leading_edge_genes"
"full","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1.56745692230444,0.00119507273662468,0.00508584174803359,187,47,"SPP1;POSTN;CTHRC1;CD44;TGFBI;LUM;TIMP1;COL6A2;MGP;AREG;BMP1;ANPEP;FAP;FSTL1;MMP2;GLIPR1;ITGA5;MFAP5;THBS1;FBLN5;COL3A1;LAMC1;SPARC;COL1A1;MMP14;PDLIM4;COL4A1;TGFB1;SDC4;SAT1;CAPG;ITGB1;COL4A2;ITGA2;TGM2;COLGALT1;SDC1;FBLN2;TNC;PLOD1;SERPINE2;NOTCH2;LOXL2;COL5A1;TNFRSF12A;SLIT2;MMP3"
"full","HALLMARK_IL2_STAT5_SIGNALING",1.52027939505661,0.00122060201952806,0.00508584174803359,189,56,"SPP1;SELL;CXCL10;IL10;CD44;IL10RA;IL3RA;CD48;CST7;ITIH5;IL2RB;LTB;SMPDL3A;SOCS1;SELP;GPR65;TNFRSF9;MYO1E;GLIPR2;LCLAT1;IL4R;HOPX;TRAF1;CAPG;RORA;PLAGL1;TGM2;IFITM3;UCK2;AGER;RHOH;CASP3;CCND2;ST3GAL4;TLR7;IFNGR1;CDCP1;KLF6;DHRS3;LRIG1;NDRG1;RRAGD;TNFRSF21;GSTO1;CDC42SE2;RABGAP1L;CA2;LIF;CCND3;ITGAV;ALCAM;IL18R1;APLP1;NT5E;IRF4;ECM1"
"full","HALLMARK_ANGIOGENESIS",1.76057488865297,0.00190802389578036,0.00733855344530908,28,7,"SPP1;POSTN;S100A4;SLCO2A1;LUM;TIMP1;FSTL1"
"full","HALLMARK_IL6_JAK_STAT3_SIGNALING",1.6129888859012,0.00359065565378999,0.0128237701921071,75,22,"CXCL10;CD44;CSF3R;ITGA4;IL3RA;IL2RG;CSF2RB;LTB;SOCS1;IL1B;IL4R;TGFB1;MYD88;TLR2;IFNGR1;STAT2;BAK1;TNFRSF12A;CCR1;PTPN2;TNFRSF21;OSMR"
"full","HALLMARK_UV_RESPONSE_DN",-1.46756748083357,0.00597255990663702,0.0199085330221234,137,48,"ID1;SMAD7;MYC;PRKAR2B;CDKN1B;PPARG;GCNT1;LDLR;RND3;TGFBR3;NR1D2;MT1E;TGFBR2;PLPP3;MGLL;TFPI;BHLHE40;NRP1;MAGI2;ICA1;SYNE1;RXRA;AGGF1;DUSP1;CDC42BPA;NR3C1;KALRN;DBP;ARHGEF9;PHF3;INSIG1;PLCB4;NIPBL;GJA1;SIPA1L1;PRDM2;ZMIZ1;CDK13;ANXA2;AKT3;DYRK1A;NEK7;MAPK14;CAV1;LPAR1;ATXN1;TJP1;RUNX1"
"full","HALLMARK_DNA_REPAIR",1.45331084112147,0.0113392256020351,0.0354350800063597,148,71,"ADA;HCLS1;PDE4B;COX17;CMPK2;ZWINT;TAF13;MPC2;DDB2;NME1;SEC61A1;TYMS;TAF9;LIG1;ITPA;APRT;DGCR8;GTF2A2;DUT;HPRT1;CDA;POLR2F;POLD1;AK3;USP11;MRPL40;CANT1;POLR2J;POLR2D;CSTF3;PCNA;ELOA;TAF6;NT5C;RPA3;RNMT;RBX1;POLR1C;ADRM1;TK2;SSRP1;GTF2H5;SNAPC5;CETN2;BCAP31;DGUOK;RFC4;NT5C3A;POLD4;POLH;POLR2K;TMED2;GTF2H3;PDE6G;ERCC3;AK1;ELL;SUPT5H;NELFE;TP53;TARBP2;SUPT4H1;ZNF707;NELFCD;SNAPC4;PNP;POLR2I;UPF3B;POLR3C;DAD1;RALA"
"full","HALLMARK_MTORC1_SIGNALING",1.34816524044467,0.0146643196073811,0.0431303517864151,195,75,"ITGB2;CORO1A;SLA;CXCR4;SDF2L1;SLC7A5;MCM4;EIF2S2;TRIB3;ARPC5L;PPA1;PSMB5;NMT1;EDEM1;PDAP1;FDXR;HSP90B1;DHFR;TFRC;GSR;EBP;ME1;LGMN;HSPA4;ALDOA;GLRX;HPRT1;BCAT1;SCD;ENO1;PSMD13;PSMC4;RPN1;IGFBP5;ACSL3;POLR3G;DAPP1;ATP6V1D;ASNS;SYTL2;CALR;YKT6;ATP5MC1;TUBA4A;ACTR2;SLC1A4;MTHFD2L;GAPDH;RRM2;EEF1E1;VLDLR;PSME3;PSMA3;TUBG1;PDK1;SLC7A11;TES;ATP2A2;MTHFD2;M6PR;SORD;PSMD14;HSPA5;UCHL5;AK4;ACTR3;PSMG1;PSPH;HK2;FGL2;ACLY;PGK1;GPI;PGM1;HMBS"
"full","HALLMARK_APICAL_JUNCTION",1.38071453082296,0.024864763080299,0.0654335870534183,161,36,"MMP9;TGFBI;CADM3;PTPRC;BMP1;CLDN11;RAC2;ADAM23;EVL;MMP2;CD99;MPZL2;ITGA3;PCDH1;CD209;MPZL1;JAM3;B4GALT1;TRAF1;CD276;VWF;CLDN15;RSU1;ITGB1;ITGA2;ACTN4;LAMB3;MAPK13;SLIT2;VASP;CD274;FYB1;JUP;TUBG1;SYK;MADCAM1"
"full","HALLMARK_OXIDATIVE_PHOSPHORYLATION",1.34006430630881,0.0237761496979252,0.0654335870534183,200,75,"COX17;ATP5F1E;BAX;NDUFV2;NDUFA1;NDUFA7;ATP5ME;NDUFB1;COX10;UQCR11;ATP6V0E1;PDP1;TIMM17A;FDX1;UQCRFS1;NDUFC2;TIMM10;TIMM8B;UQCRQ;NDUFS6;COX7C;GOT2;NDUFB8;UQCRB;ATP6V1G1;MAOB;MRPL15;ATP6V1D;COX7A2;NDUFS8;POLR2F;ATP5MC1;ATP6V0B;ATP6AP1;NDUFA3;ATP5MF;ISCA1;CASP7;NNT;ATP6V1H;VDAC1;COX6C;ATP6V1F;ATP5F1D;SUCLA2;NDUFB2;DECR1;DLST;COX6B1;NDUFB4;NDUFA5;DLAT;MRPL34;NDUFS3;MTRF1;PRDX3;NDUFB3;SDHA;MTX2;NDUFC1;GPI;MRPS12;COX5A;LDHB;AIFM1;TCIRG1;CS;UQCR10;COX11;UQCRC1;SLC25A3;OPA1;ATP5F1C;ATP6V1E1;HSPA9"
"full","HALLMARK_CHOLESTEROL_HOMEOSTASIS",-1.40863388137795,0.0372942146235563,0.0932355365588906,69,22,"LPL;HMGCS1;NFIL3;PPARG;PNRC1;LDLR;IDI1;CHKA;SEMA3B;FABP5;STX5;CYP51A1;HSD17B7;ATF3;HMGCR;ETHE1;ECH1;FDFT1;PCYT2;PMVK;ATXN2;CXCL16"
