program,control_gene
EC marker enrichment,MT-CO2
EC marker enrichment,MT1X
EC marker enrichment,MTA1
EC marker enrichment,MTAP
EC marker enrichment,MTHFD2
EC marker enrichment,MVB12B
EC marker enrichment,MYL9
EC marker enrichment,MYOF
EC marker enrichment,N4BP2
EC marker enrichment,NAA40
EC marker enrichment,NABP1
EC marker enrichment,NAGK
EC marker enrichment,NCAPH2
EC marker enrichment,NDUFA10
EC marker enrichment,NDUFB11
EC marker enrichment,NFE2L1
EC marker enrichment,NFE2L2
EC marker enrichment,NIN
EC marker enrichment,NIT2
EC marker enrichment,NKAPD1
EC marker enrichment,NOP10
EC marker enrichment,NPHP1
EC marker enrichment,NRP2
EC marker enrichment,NT5DC2
EC marker enrichment,NUB1
EC marker enrichment,NUDC
EC marker enrichment,NUDT22
EC marker enrichment,NUDT3
EC marker enrichment,OAF
EC marker enrichment,ODF3B
EC marker enrichment,OLFML2B
EC marker enrichment,OPN3
EC marker enrichment,ORC5
EC marker enrichment,OSR1
EC marker enrichment,OSTM1
EC marker enrichment,PALM2-AKAP2
EC marker enrichment,PARP3
EC marker enrichment,PARP6
EC marker enrichment,PBX2
EC marker enrichment,PCDHGB7
EC marker enrichment,PDCD4
EC marker enrichment,PEX11B
EC marker enrichment,PEX5
EC marker enrichment,PFKFB3
EC marker enrichment,PHF14
EC marker enrichment,PIAS1
EC marker enrichment,PIK3AP1
EC marker enrichment,PILRB
EC marker enrichment,PIP5K1C
EC marker enrichment,PKP4
EC marker enrichment,PLA2G7
EC marker enrichment,PLPP1
EC marker enrichment,PLPP3
EC marker enrichment,PMF1
EC marker enrichment,POLDIP2
EC marker enrichment,POM121C
EC marker enrichment,POMP
EC marker enrichment,PPARGC1A
EC marker enrichment,PPP1R35
EC marker enrichment,PPP4R2
EC marker enrichment,PRAC1
EC marker enrichment,PRDX1
EC marker enrichment,PRDX4
EC marker enrichment,PRKCD
EC marker enrichment,PRR14L
EC marker enrichment,PRSS23
EC marker enrichment,PTBP3
EC marker enrichment,PTGER3
EC marker enrichment,PTPN21
EC marker enrichment,PTPRA
EC marker enrichment,PUS7L
EC marker enrichment,RABL6
EC marker enrichment,RASGRF2
EC marker enrichment,RBL2
EC marker enrichment,RBM39
EC marker enrichment,REEP5
EC marker enrichment,RELN
EC marker enrichment,RESF1
EC marker enrichment,REST
EC marker enrichment,REXO2
EC marker enrichment,RHOA
EC marker enrichment,RING1
EC marker enrichment,RIOK3
EC marker enrichment,RIPOR1
EC marker enrichment,RNASE1
EC marker enrichment,RPF2
EC marker enrichment,RRBP1
EC marker enrichment,RRP1
EC marker enrichment,RSRC1
EC marker enrichment,RTCA
EC marker enrichment,RTN2
EC marker enrichment,S100A13
EC marker enrichment,S100A5
EC marker enrichment,SAFB
EC marker enrichment,SAP130
