program,control_gene
Selective clearance,PA2G4
Selective clearance,PACSIN1
Selective clearance,PARP10
Selective clearance,PARP8
Selective clearance,PCCA
Selective clearance,PCNA
Selective clearance,PFAS
Selective clearance,PHF20
Selective clearance,PIGL
Selective clearance,PIK3C2A
Selective clearance,PIM3
Selective clearance,PIP4P1
Selective clearance,PITRM1
Selective clearance,PLAAT4
Selective clearance,PLCB4
Selective clearance,PLCD1
Selective clearance,PLEKHA5
Selective clearance,PLEKHG5
Selective clearance,PLPP1
Selective clearance,PLPP3
Selective clearance,PLXNA3
Selective clearance,PNPLA2
Selective clearance,PNPLA6
Selective clearance,PNRC2
Selective clearance,POLK
Selective clearance,POLR3H
Selective clearance,POU2AF1
Selective clearance,PPP1R1A
Selective clearance,PPP4R1
Selective clearance,PPT1
Selective clearance,PREPL
Selective clearance,PROCR
Selective clearance,PRSS51
Selective clearance,PSEN2
Selective clearance,PSME1
Selective clearance,PSMF1
Selective clearance,PTH1R
Selective clearance,PTPN11
Selective clearance,PTPN6
Selective clearance,PTPRF
Selective clearance,PTRH1
Selective clearance,PUF60
Selective clearance,PURB
Selective clearance,PWWP3A
Selective clearance,RAB11B
Selective clearance,RAB5C
Selective clearance,RABGGTA
Selective clearance,RAF1
Selective clearance,RALGAPB
Selective clearance,RAPH1
Selective clearance,RASAL3
Selective clearance,RASGRP2
Selective clearance,RAVER1
Selective clearance,RETREG2
Selective clearance,RGS12
Selective clearance,RNFT1
Selective clearance,RPAP3
Selective clearance,RRBP1
Selective clearance,RRNAD1
Selective clearance,RTL8C
Selective clearance,RUNDC3B
Selective clearance,S100A4
Selective clearance,SAMD3
Selective clearance,SAP30BP
Selective clearance,SAR1B
Selective clearance,SAT1
Selective clearance,SCO2
Selective clearance,SDCBP
Selective clearance,SEC24D
Selective clearance,SEM1
Selective clearance,SERGEF
Selective clearance,SERPINB1
Selective clearance,SESN2
Selective clearance,SIAE
Selective clearance,SLBP
Selective clearance,SLC16A13
Selective clearance,SLC25A10
Selective clearance,SLC29A3
Selective clearance,SMARCD3
Selective clearance,SMCHD1
Selective clearance,SMTN
Selective clearance,SNX9
Selective clearance,SP3
Selective clearance,SPATA6L
Selective clearance,SRCAP
Selective clearance,SRGAP3
Selective clearance,SRGN
Selective clearance,SRP19
Selective clearance,SRPK1
Selective clearance,SRPK2
Selective clearance,SRRM2
Selective clearance,ST5
Selective clearance,ST6GALNAC6
Selective clearance,STK10
Selective clearance,STK40
Selective clearance,STMP1
Selective clearance,STOML2
Selective clearance,STXBP2
Selective clearance,SWT1
Selective clearance,TAB2
Selective clearance,TBC1D16
Selective clearance,TBC1D5
Selective clearance,TBCK
Selective clearance,TFCP2
Selective clearance,TGFBR2
Selective clearance,THBD
Selective clearance,THBS1
Selective clearance,THEM6
Selective clearance,THUMPD3
Selective clearance,TIPARP
Selective clearance,TMCO6
Selective clearance,TMED7
Selective clearance,TMEM131
Selective clearance,TMEM134
Selective clearance,TMEM242
Selective clearance,TMEM59
Selective clearance,TMF1
Selective clearance,TNFRSF10B
Selective clearance,TNFSF10
Selective clearance,TPX2
Selective clearance,TRAPPC10
Selective clearance,TRAPPC4
Selective clearance,TRAPPC6B
Selective clearance,TSNAX
Selective clearance,TTC21B
Selective clearance,TUBB2A
Selective clearance,TUBGCP6
Selective clearance,TUSC2
Selective clearance,TWF2
Selective clearance,TXNDC12
Selective clearance,UBAP2L
Selective clearance,UBASH3B
Selective clearance,UBE2V1
Selective clearance,UBFD1
Selective clearance,UBXN11
Selective clearance,UBXN6
Selective clearance,ULK3
Selective clearance,UNC93B1
Selective clearance,UPF1
Selective clearance,USF1
Selective clearance,UST
Selective clearance,UTP11
Selective clearance,VAV3
Selective clearance,VEGFA
Selective clearance,VPS11
Selective clearance,VPS33A
Selective clearance,VPS39
Selective clearance,VPS52
Selective clearance,VPS53
Selective clearance,VRK2
Selective clearance,WASF3
Selective clearance,YPEL5
Selective clearance,ZBTB1
Selective clearance,ZC2HC1A
Selective clearance,ZC3H7A
Selective clearance,ZDHHC1
Selective clearance,ZFP64
Selective clearance,ZNF148
Selective clearance,ZNF16
Selective clearance,ZNF207
Selective clearance,ZNF32
Selective clearance,ZNF354A
Selective clearance,ZNF500
Selective clearance,ZNF502
Selective clearance,ZNF512
Selective clearance,ZNF655
Selective clearance,ZNF709
Selective clearance,ZSCAN22
EC inflammation,AC091057.6
EC inflammation,ACAA1
EC inflammation,ACBD3
EC inflammation,ACSM3
EC inflammation,AGFG1
EC inflammation,AGRN
EC inflammation,AMOTL2
EC inflammation,ANAPC2
EC inflammation,ANKRD33B
EC inflammation,ANXA11
EC inflammation,ARHGAP4
EC inflammation,ATMIN
EC inflammation,ATP13A1
EC inflammation,ATP5MD
EC inflammation,AURKAIP1
EC inflammation,BCL7A
EC inflammation,BGN
EC inflammation,BICD2
EC inflammation,BMP5
EC inflammation,BSX
EC inflammation,C16orf86
EC inflammation,C17orf107
EC inflammation,C19orf18
EC inflammation,C22orf15
EC inflammation,C7orf31
EC inflammation,C9
EC inflammation,CACNB3
EC inflammation,CALD1
EC inflammation,CAMK2N1
EC inflammation,CCDC178
EC inflammation,CCDC28B
EC inflammation,CCNDBP1
EC inflammation,CD4
EC inflammation,CECR2
EC inflammation,CENPA
EC inflammation,CGNL1
EC inflammation,CLDN10
EC inflammation,CLN3
EC inflammation,CNPY2
EC inflammation,COL14A1
EC inflammation,COPA
EC inflammation,CORO6
EC inflammation,CPSF7
EC inflammation,CPXM1
EC inflammation,CTF1
EC inflammation,CYB5R3
EC inflammation,CYFIP1
EC inflammation,DERL2
EC inflammation,DND1
EC inflammation,ECE1
EC inflammation,ECH1
EC inflammation,EDA2R
EC inflammation,EHHADH
EC inflammation,EPHA6
EC inflammation,ERCC5
EC inflammation,ERFE
EC inflammation,EVL
EC inflammation,EXOC3
EC inflammation,FAM200B
EC inflammation,FAM20A
EC inflammation,FAM71C
EC inflammation,FBXL2
EC inflammation,FCGR3B
EC inflammation,FCGRT
EC inflammation,FURIN
EC inflammation,GAK
EC inflammation,GLMP
EC inflammation,GPATCH2L
EC inflammation,GXYLT1
EC inflammation,HTR4
EC inflammation,IBSP
EC inflammation,IFI30
EC inflammation,IFNGR2
EC inflammation,IGFBP7
EC inflammation,IGLC1
EC inflammation,IQGAP1
EC inflammation,IRF2BPL
EC inflammation,IRF9
EC inflammation,ITGA7
EC inflammation,ITGA8
EC inflammation,JOSD1
EC inflammation,KAT2B
EC inflammation,KDELR1
EC inflammation,KIAA1755
EC inflammation,KPNA2
EC inflammation,KSR1
EC inflammation,LAMTOR4
EC inflammation,LAPTM5
EC inflammation,LRFN3
EC inflammation,LTBR
EC inflammation,LUC7L3
EC inflammation,LY96
EC inflammation,MAGI2
EC inflammation,MAN1A1
EC inflammation,MAP3K5
EC inflammation,MAPK1
EC inflammation,MBOAT7
EC inflammation,MCUB
EC inflammation,MGAT3
EC inflammation,MS4A6A
EC inflammation,MT-ND5
EC inflammation,MT2A
EC inflammation,NAA38
EC inflammation,NCF2
EC inflammation,NID1
EC inflammation,NOL9
EC inflammation,NPLOC4
EC inflammation,NR2F1
EC inflammation,NUMA1
EC inflammation,OBSL1
EC inflammation,OGT
EC inflammation,PCDHB10
EC inflammation,PCDHB4
EC inflammation,PDE4D
EC inflammation,PDPR
EC inflammation,PFKFB4
EC inflammation,PHC2
EC inflammation,PHOX2A
EC inflammation,PLIN1
EC inflammation,PLK1
EC inflammation,PLTP
EC inflammation,POLR2A
EC inflammation,POLR2E
EC inflammation,PPP1R12C
EC inflammation,PPP1R18
EC inflammation,PPP4C
EC inflammation,PRPF4B
EC inflammation,PTCH1
EC inflammation,PXDC1
EC inflammation,RAB27A
EC inflammation,RAB34
EC inflammation,RACK1
EC inflammation,RBL2
EC inflammation,RC3H1
EC inflammation,RCAN2
EC inflammation,RET
EC inflammation,RLIM
EC inflammation,RNF34
EC inflammation,RSU1
EC inflammation,SEC13
EC inflammation,SERPINB12
EC inflammation,SESN2
EC inflammation,SFRP1
EC inflammation,SGSH
EC inflammation,SH3GLB2
EC inflammation,SIN3B
EC inflammation,SLC16A14
EC inflammation,SLC1A1
EC inflammation,SLC25A10
EC inflammation,SLC9A3R1
EC inflammation,SLC9A7
EC inflammation,SND1
EC inflammation,SNED1
EC inflammation,SOWAHD
EC inflammation,SPATA2
EC inflammation,SPATC1
EC inflammation,SPECC1L
EC inflammation,SRR
EC inflammation,SRSF2
EC inflammation,SRSF3
EC inflammation,STARD3NL
EC inflammation,STAT2
EC inflammation,STOM
EC inflammation,STUB1
EC inflammation,SUMO3
EC inflammation,SYNE2
EC inflammation,TAS2R7
EC inflammation,TBRG1
EC inflammation,TECTA
EC inflammation,TESK1
EC inflammation,TMEM170B
EC inflammation,TOMM40L
EC inflammation,TRPC4AP
EC inflammation,TSPAN12
EC inflammation,TXNDC15
EC inflammation,TXNL4B
EC inflammation,TYMS
EC inflammation,UBR3
EC inflammation,UNC50
EC inflammation,USF1
EC inflammation,VAMP8
EC inflammation,VAV3
EC inflammation,VEGFA
EC inflammation,VILL
EC inflammation,VSTM4
EC inflammation,YKT6
EC inflammation,YWHAG
EC inflammation,ZEB2
EC inflammation,ZNF292
EC inflammation,ZNF384
EC inflammation,ZNF410
EC inflammation,ZNF529
EC inflammation,ZNF581
EC inflammation,ZNF658
EC inflammation,ZNF775
EC inflammation,ZNF793
EC inflammation,ZRANB3
EC inflammation,ZSCAN30
EC inflammation,ZSWIM6
