"donor","rank","Gene","Distance","Z","FC","p_value","adjusted_p_value"
"hoa2",1,"SQSTM1",0.000397316001441067,4.51404209640329,220.58308816508,6.74835533929264e-50,2.02450660178779e-47
"hoa2",2,"MT-ATP6",0.000165468217425957,3.93401189596971,38.258617895273,6.19628226182816e-10,9.29442339274224e-08
"hoa2",3,"MT-ND4",0.000139308483145621,3.82348611511279,27.1178483197605,1.9142242584987e-07,1.9142242584987e-05
"hoa2",4,"MT-CO1",8.72032956497863e-05,3.52815423745767,10.6259042252319,0.0011151442726124,0.0836358204459298
"hoa2",5,"MT-CO2",3.75657653664676e-05,3.01700909600346,1.97189862208879,0.160246478083043,0.999999999988552
"hoa2",6,"MT-ND1",3.00620742385478e-05,2.88589180104822,1.26280992411235,0.261119879732254,0.999999999988552
"hoa2",7,"NFKBIA",5.19333205483563e-06,1.90994801168538,0.0376870621387593,0.846072871281171,0.999999999988552
"hoa2",8,"VWF",3.82895885309538e-06,1.75044960381598,0.020486204279996,0.886187491927194,0.999999999988552
"hoa2",9,"ICAM1",2.57426766777669e-06,1.54686577039719,0.00925992575334614,0.923339089756366,0.999999999988552
"hoa2",10,"MCL1",2.48853356465047e-06,1.52971377608302,0.00865340650723092,0.925884742606178,0.999999999988552
"hoa2",11,"CKS2",2.02761401060862e-06,1.42670475900726,0.00574474382927401,0.939582919408353,0.999999999988552
"hoa2",12,"ADAMTS4",1.99924870172536e-06,1.41966482131625,0.00558513590815983,0.940426540722248,0.999999999988552
"hoa2",13,"CXCL2",1.99238208719397e-06,1.41794646718278,0.00554683640567948,0.940630772888454,0.999999999988552
"hoa2",14,"ENG",1.95231323608925e-06,1.40780668037882,0.00532597468282253,0.941822609117061,0.999999999988552
"hoa2",15,"CXCL3",1.94756303868422e-06,1.40659162900231,0.00530008882345156,0.941963911036291,0.999999999988552
"hoa2",16,"HES1",1.92184644652375e-06,1.39996472870566,0.00516104291634436,0.942728922176875,0.999999999988552
"hoa2",17,"MAP1LC3B",1.85139117344152e-06,1.38137184412347,0.00478956948394588,0.944825077652181,0.999999999988552
"hoa2",18,"PECAM1",1.82065762926483e-06,1.37305172936416,0.00463187329763687,0.945739569598546,0.999999999988552
"hoa2",19,"KDM6B",1.71192198838357e-06,1.34251342190208,0.00409513327810055,0.9489756187301,0.999999999988552
"hoa2",20,"TIPARP",1.59368228348688e-06,1.3071587329804,0.003548980309556,0.952495469150316,0.999999999988552
"hoa2",21,"SERPINE1",1.5794227057411e-06,1.30272919466002,0.00348575496458112,0.952920023212543,0.999999999988552
"hoa2",22,"NR4A1",1.56239951069878e-06,1.29739158135351,0.00341102018090627,0.953426876646914,0.999999999988552
"hoa2",23,"EGR3",1.51448778375069e-06,1.28206943848827,0.00320502668228089,0.95485351444013,0.999999999988552
"hoa2",24,"HBEGF",1.48177648245115e-06,1.27134384933971,0.00306807163679828,0.955827621955809,0.999999999988552
"hoa2",25,"MT2A",1.40598911728182e-06,1.24561124307077,0.0027622565916578,0.95808473957705,0.999999999988552
"hoa2",26,"ATF3",1.40218860388981e-06,1.24428668521102,0.00274734352506832,0.958197936385536,0.999999999988552
"hoa2",27,"LRG1",1.29911458832982e-06,1.20700947360647,0.0023582781093792,0.961268269590447,0.999999999988552
"hoa2",28,"SLC25A44",1.19679981812987e-06,1.16714261345418,0.00200144255401495,0.964316554977245,0.999999999988552
"hoa2",29,"MIR222HG",1.18393095933681e-06,1.16190271297726,0.00195863204197927,0.96469999743164,0.999999999988552
"hoa2",30,"ADAMTS1",1.04745219176828e-06,1.10276793976868,0.00153309306825885,0.96876702426004,0.999999999988552
"hoa2",31,"C11orf96",1.0465611800527e-06,1.10235853039267,0.00153048593658772,0.968793578929646,0.999999999988552
"hoa2",32,"HMOX1",1.04530684754875e-06,1.10178162261656,0.00152681947567939,0.968830961645135,0.999999999988552
"hoa2",33,"C7",1.03212952252557e-06,1.09568122347798,0.00148856739271467,0.969223687946116,0.999999999988552
"hoa2",34,"MSX1",9.3057656633618e-07,1.04604335448028,0.00121005280936803,0.9722505331047,0.999999999988552
"hoa2",35,"SELE",9.12911516929115e-07,1.03689111037911,0.00116454821039398,0.972777092255867,0.999999999988552
"hoa2",36,"NR4A2",8.83432228188749e-07,1.02123979198261,0.00109055249942851,0.973655836133183,0.999999999988552
"hoa2",37,"BTNL9",8.6455907299715e-07,1.01095914630335,0.00104445430891165,0.974218440158749,0.999999999988552
"hoa2",38,"RGS16",8.2868951836585e-07,0.990823660004994,0.000959585753936773,0.975287737717276,0.999999999988552
"hoa2",39,"C2CD4B",8.11736245924397e-07,0.981019521992439,0.000920725089379498,0.97579314269537,0.999999999988552
"hoa2",40,"CCL2",7.95753574483551e-07,0.971598432082909,0.000884824820327227,0.976269621362433,0.999999999988552
"hoa2",41,"IER3",7.50243516905888e-07,0.94376178459734,0.000786510641117388,0.977626422310734,0.999999999988552
"hoa2",42,"SOD2",7.35708176746916e-07,0.934535267539614,0.000756329893661141,0.978059781300561,0.999999999988552
"hoa2",43,"ICAM4",7.14654241169622e-07,0.920861820215939,0.000713661142919716,0.978687498200893,0.999999999988552
"hoa2",44,"SEMA4A",6.85995850755504e-07,0.901626848668857,0.000657571645419972,0.97954196082049,0.999999999988552
"hoa2",45,"EGR1",6.7263761400336e-07,0.892401014520293,0.000632211511404922,0.979940250653588,0.999999999988552
"hoa2",46,"ANKRD29",6.3651980705275e-07,0.866564080148988,0.00056614013645554,0.98101716568949,0.999999999988552
"hoa2",47,"AKAP12",6.02387692623547e-07,0.840845626779574,0.000507051743947527,0.982034905688025,0.999999999988552
"hoa2",48,"VSIR",5.41889762152573e-07,0.791687391614689,0.00041031934461332,0.983838883588453,0.999999999988552
"hoa2",49,"ADGRG6",5.41600080958226e-07,0.791439800141916,0.000409880768224592,0.9838475217508,0.999999999988552
"hoa2",50,"ATP13A3",5.34033618998025e-07,0.784928139919493,0.000398508231348886,0.98407315089589,0.999999999988552
"hoa2",51,"LTBP4",5.27540369800244e-07,0.77927041626911,0.000388876320824464,0.984266778242956,0.999999999988552
"hoa2",52,"TSPAN13",5.11411006513892e-07,0.764927556428238,0.000365460329591568,0.984747756503628,0.999999999988552
"hoa2",53,"AC010359.3",5.07844314244391e-07,0.761698441356637,0.000360380504861023,0.984854116164913,0.999999999988552
"hoa2",54,"COX4I1",5.01232509219083e-07,0.755655509769147,0.000351057747741401,0.985051282565732,0.999999999988552
"hoa2",55,"AQP7",4.81947869886341e-07,0.737591260543569,0.000324563912925644,0.985626362608994,0.999999999988552
"hoa2",56,"CXCL12",4.63689961013214e-07,0.71984999706316,0.000300438432326026,0.9861708317935,0.999999999988552
"hoa2",57,"PPP1R14A",4.58029121112268e-07,0.71421556297153,0.000293147559022189,0.986339645046176,0.999999999988552
"hoa2",58,"GIGYF2",4.54445088249024e-07,0.71061423838608,0.000288577806494785,0.986446525659052,0.999999999988552
"hoa2",59,"LGALS1",4.5028171750583e-07,0.706397037657662,0.000283314451721434,0.986570683201063,0.999999999988552
"hoa2",60,"CD83",4.41392592563178e-07,0.697268665455627,0.000272238900108366,0.986835770431494,0.999999999988552
"hoa2",61,"MMP2",4.30259833642205e-07,0.685588853142209,0.00025867931978067,0.987167768287238,0.999999999988552
"hoa2",62,"CLDN5",4.21582369584882e-07,0.676285863205773,0.00024835046725807,0.98742654660711,0.999999999988552
"hoa2",63,"RND1",4.21044334477686e-07,0.675703121194756,0.000247716968258479,0.987442591871085,0.999999999988552
"hoa2",64,"MGP",4.15170178247565e-07,0.669294824724022,0.000240853189224205,0.987617771079871,0.999999999988552
"hoa2",65,"CREB5",4.04391046936462e-07,0.657310148062171,0.000228508923385458,0.987939228103831,0.999999999988552
"hoa2",66,"SEMA3G",4.03715630354921e-07,0.656549210047957,0.000227746246623523,0.987959370553763,0.999999999988552
"hoa2",67,"DDHD1",3.90202121574216e-07,0.641067087742207,0.000212754793147133,0.988362375542518,0.999999999988552
"hoa2",68,"UQCRC2",3.87645580614116e-07,0.638081405973984,0.000209976056244539,0.988438618014672,0.999999999988552
"hoa2",69,"DEPP1",3.81044271399513e-07,0.630285367390629,0.000202885483381421,0.98863548612115,0.999999999988552
"hoa2",70,"UQCRB",3.44820066952193e-07,0.58509838025431,0.000166144192007146,0.989715797542107,0.999999999988552
"hoa2",71,"FILIP1L",3.42661302526512e-07,0.582266234086736,0.000164070394794306,0.98978017880804,0.999999999988552
"hoa2",72,"KDR",3.30257833338925e-07,0.565660598788568,0.000152407505560787,0.990150091242672,0.999999999988552
"hoa2",73,"ANKRD42",3.3025735335492e-07,0.565659944898024,0.00015240706255472,0.990150105557423,0.999999999988552
"hoa2",74,"KCNQ1OT1",3.27833384106136e-07,0.562346257759268,0.000150178047588464,0.990222396579519,0.999999999988552
"hoa2",75,"CDH13",3.25924360535353e-07,0.55972024164662,0.000148434120845028,0.990279330223477,0.999999999988552
"hoa2",76,"ADAMTS9",3.21236516456985e-07,0.553209747656566,0.000144194905159498,0.990419138054851,0.999999999988552
"hoa2",77,"SYNJ2",3.0302904412869e-07,0.527044138530185,0.000128312395234633,0.99096215102104,0.999999999988552
"hoa2",78,"ATP5F1A",3.01736360373529e-07,0.525130571536231,0.0001272200011721,0.991000703708612,0.999999999988552
"hoa2",79,"EFNB1",2.8753090686372e-07,0.503577812089077,0.000115523188867915,0.991424365081768,0.999999999988552
"hoa2",80,"JAG2",2.85091904315415e-07,0.499776734907568,0.000113571632952311,0.9914971057845,0.999999999988552
"hoa2",81,"NSUN6",2.8243598517934e-07,0.495602605901342,0.000111465420592873,0.991576315878193,0.999999999988552
"hoa2",82,"PRDX5",2.62433611813676e-07,0.462923098585635,9.62363217498061e-05,0.992172868983237,0.999999999988552
"hoa2",83,"MIR22HG",2.54051217650231e-07,0.448525023943104,9.01867344442916e-05,0.992422867800064,0.999999999988552
"hoa2",84,"FAM107A",2.47433539535592e-07,0.436838459468327,8.5549452767742e-05,0.992620235769355,0.999999999988552
"hoa2",85,"SEMA3A",2.47352604941094e-07,0.436693717825597,8.54934961024525e-05,0.992622649594105,0.999999999988552
"hoa2",86,"DGKE",2.46477182874486e-07,0.435125275087617,8.48894155242402e-05,0.992648758525808,0.999999999988552
"hoa2",87,"FILIP1",2.42430532295248e-07,0.427806247985435,8.21248766803794e-05,0.992769447524633,0.999999999988552
"hoa2",88,"PRDX2",2.39741939777398e-07,0.422879590269225,8.03134218953468e-05,0.992849633323663,0.999999999988552
"hoa2",89,"MAP1B",2.39600636875743e-07,0.422619225411407,8.02187770019159e-05,0.992853847607304,0.999999999988552
"hoa2",90,"PRKX",2.32903682214977e-07,0.410110497077236,7.57971384137684e-05,0.993053580933025,0.999999999988552
"hoa2",91,"GCNT2",2.31518990717278e-07,0.407481919605243,7.48985381545281e-05,0.993094878719619,0.999999999988552
"hoa2",92,"MT1X",2.27290912423764e-07,0.399363062623169,7.21878728037854e-05,0.993220979322701,0.999999999988552
"hoa2",93,"GPX4",2.20168368009988e-07,0.385358905410726,6.77345027311807e-05,0.993433406504923,0.999999999988552
"hoa2",94,"IGFBP5",2.16565004760238e-07,0.378110696647745,6.55355062984511e-05,0.993540875623661,0.999999999988552
"hoa2",95,"ARL15",2.09683996025897e-07,0.363948175518752,6.1437094591937e-05,0.993746099760291,0.999999999988552
"hoa2",96,"COX5A",2.03786591463551e-07,0.351457293373049,5.80298317040923e-05,0.993921988510856,0.999999999988552
"hoa2",97,"IL32",2.00725294867109e-07,0.344838493481849,5.62994703915278e-05,0.994013291102997,0.999999999988552
"hoa2",98,"SOX17",2.00371871075345e-07,0.344068246356355,5.61013881802138e-05,0.99402383190583,0.999999999988552
"hoa2",99,"NDUFA1",2.00109507410458e-07,0.343495626408397,5.59545678771221e-05,0.994031656856964,0.999999999988552
"hoa2",100,"CNKSR3",1.98522558530004e-07,0.340016892923278,5.50706024736117e-05,0.994078987346313,0.999999999988552
"hoa2",101,"MTOR",1.87783814355351e-07,0.315764176343991,4.92738404763094e-05,0.994399269164222,0.999999999988552
"hoa2",102,"FUT8",1.87577715757951e-07,0.315286056193169,4.91657406745989e-05,0.99440541604033,0.999999999988552
"hoa2",103,"SOX13",1.86705844441599e-07,0.313257945877036,4.87097528546313e-05,0.99443141954442,0.999999999988552
"hoa2",104,"ISG15",1.8054452539087e-07,0.298666120191145,4.55479408755566e-05,0.994615180642795,0.999999999988552
"hoa2",105,"RCAN1",1.77401553621973e-07,0.291040995520864,4.39759204309848e-05,0.994708919762825,0.999999999988552
"hoa2",106,"JAG1",1.76597993598358e-07,0.289071066290317,4.35784350781435e-05,0.994732885948986,0.999999999988552
"hoa2",107,"H19",1.73215964823755e-07,0.280686377214068,4.19252764294744e-05,0.99483375504462,0.999999999988552
"hoa2",108,"FIS1",1.70883690573761e-07,0.274813909985127,4.0803867640845e-05,0.99490331523262,0.999999999988552
"hoa2",109,"TFAM",1.67463657844608e-07,0.266064574225527,3.91869304887763e-05,0.995005317937767,0.999999999988552
"hoa2",110,"CRIP1",1.6299551139107e-07,0.254376766272238,3.71237115924531e-05,0.995138580827658,0.999999999988552
"hoa2",111,"TM6SF1",1.59388759581027e-07,0.24471993863187,3.54989479086273e-05,0.995246152640062,0.999999999988552
"hoa2",112,"YME1L1",1.55528915872701e-07,0.234154750823801,3.38004428013808e-05,0.995361273044854,0.999999999988552
"hoa2",113,"B3GNT5",1.55328843019053e-07,0.233600400914122,3.37135367578948e-05,0.995367240249715,0.999999999988552
"hoa2",114,"NIBAN1",1.50762108108112e-07,0.220760767717095,3.17602932311542e-05,0.995503443918675,0.999999999988552
"hoa2",115,"SIPA1L2",1.50026644471828e-07,0.218658792274447,3.14511762256737e-05,0.995525379262859,0.999999999988552
"hoa2",116,"SRGN",1.46496927793817e-07,0.208433716800893,2.99886651260292e-05,0.995630653787368,0.999999999988552
"hoa2",117,"VEGFC",1.4614408608447e-07,0.207398861263958,2.98443821105237e-05,0.995641177367994,0.999999999988552
"hoa2",118,"TNFAIP3",1.43307249720583e-07,0.198992076646575,2.86969950608889e-05,0.995725786656165,0.999999999988552
"hoa2",119,"TAX1BP1",1.42952082570813e-07,0.197928540601752,2.8554928278529e-05,0.995736379600391,0.999999999988552
"hoa2",120,"MT1E",1.41850865722653e-07,0.19461508915766,2.81166828157742e-05,0.995769223658057,0.999999999988552
"hoa2",121,"VCAN",1.39406243285758e-07,0.187172009612826,2.71559217346921e-05,0.995842135136435,0.999999999988552
"hoa2",122,"VDAC2",1.38842930134558e-07,0.185439483403138,2.69369016847461e-05,0.995858936097643,0.999999999988552
"hoa2",123,"ADAMTS6",1.38626567661069e-07,0.184772278419395,2.68530141781134e-05,0.995865389165162,0.999999999988552
"hoa2",124,"TNFRSF4",1.38088418879115e-07,0.183108505559158,2.66449318766874e-05,0.995881439594901,0.999999999988552
"hoa2",125,"ZEB2",1.37019339291068e-07,0.179785078317343,2.62339591745911e-05,0.995913325181279,0.999999999988552
"hoa2",126,"TCF15",1.29237249909772e-07,0.15482985815805,2.33386384485872e-05,0.996145428284505,0.999999999988552
"hoa2",127,"PRDX1",1.28852255757452e-07,0.153558842316645,2.3199795259897e-05,0.99615691085689,0.999999999988552
"hoa2",128,"DUSP2",1.19758446501703e-07,0.122446931802232,2.00406778915942e-05,0.99642813682099,0.999999999988552
