"variant","donor","state","gene","PC1","PC2"
"mtDNA_feature_excluded","hoa3","WT","AC002558.3",0.00322950112361221,-0.00533443746148591
"mtDNA_feature_excluded","hoa3","WT","AC010359.3",0.00988699736369589,-0.0179050605463278
"mtDNA_feature_excluded","hoa3","WT","AC091271.1",0.00403069925896537,-0.00881621959309107
"mtDNA_feature_excluded","hoa3","WT","AC109326.1",-6.62022945485858e-06,0.000211683913743175
"mtDNA_feature_excluded","hoa3","WT","ACE",-0.00111743386486538,0.00104577601792724
"mtDNA_feature_excluded","hoa3","WT","ACKR1",0.00488624282476599,-2.82809954227237e-05
"mtDNA_feature_excluded","hoa3","WT","ADAMTS1",-5.48772609202351e-06,1.76088759769384e-05
"mtDNA_feature_excluded","hoa3","WT","ADAMTS4",0.0195324858871131,-0.0235699165437903
"mtDNA_feature_excluded","hoa3","WT","ADAMTS6",-0.00237701757692132,0.00453676436018027
"mtDNA_feature_excluded","hoa3","WT","ADAMTS9",0.0124617596881124,-0.0211038822280155
"mtDNA_feature_excluded","hoa3","WT","ADGRG6",0.00629161055669748,0.00358392377196051
"mtDNA_feature_excluded","hoa3","WT","ADM",0.00484343899208012,-0.00901799318042487
"mtDNA_feature_excluded","hoa3","WT","AFG3L2",0.00397161932075025,-0.00907087725254148
"mtDNA_feature_excluded","hoa3","WT","AKAP12",0.033288188948558,-0.015168716639612
"mtDNA_feature_excluded","hoa3","WT","AKT1",6.43173599018417e-14,-1.38003618139306e-14
"mtDNA_feature_excluded","hoa3","WT","ANKRD29",0.000733684501849629,-0.00607649557808392
"mtDNA_feature_excluded","hoa3","WT","ANKRD42",0.00841149115657642,-0.0153776422017453
"mtDNA_feature_excluded","hoa3","WT","APOD",0.0136755298524137,-0.0339557396410395
"mtDNA_feature_excluded","hoa3","WT","AQP7",0.00170137257239848,-0.0073489790732131
"mtDNA_feature_excluded","hoa3","WT","ARL15",-0.0012393330778328,0.00167818532172702
"mtDNA_feature_excluded","hoa3","WT","ARL4C",-3.38168347108815e-06,7.56494167561259e-06
"mtDNA_feature_excluded","hoa3","WT","ATF3",0.00436629057255703,0.0015450604308309
"mtDNA_feature_excluded","hoa3","WT","ATG5",0.00153285642609699,-0.00354915251152502
"mtDNA_feature_excluded","hoa3","WT","ATP13A3",0.000717012648708971,-0.00180844042833173
"mtDNA_feature_excluded","hoa3","WT","ATP5F1A",-0.0279512773063694,0.00197728472929669
"mtDNA_feature_excluded","hoa3","WT","ATP5F1B",-0.0130707399868993,0.0189299135816954
"mtDNA_feature_excluded","hoa3","WT","ATP5MC1",-0.109373627615019,0.0679290480307632
"mtDNA_feature_excluded","hoa3","WT","ATP8A1",-0.00309198733709552,0.00750001437979163
"mtDNA_feature_excluded","hoa3","WT","B3GNT5",0.0129382544657792,-0.0163708093002864
"mtDNA_feature_excluded","hoa3","WT","BAX",-0.00495975357847146,0.00634907571670847
"mtDNA_feature_excluded","hoa3","WT","BCL2L1",-0.00289066271543106,0.00687358811170324
"mtDNA_feature_excluded","hoa3","WT","BCL2L13",-0.00977929870764133,0.0208233217516577
"mtDNA_feature_excluded","hoa3","WT","BGN",0.00441096581732779,-0.0112598807928341
"mtDNA_feature_excluded","hoa3","WT","BID",0.00476970048504016,-0.012663035243202
"mtDNA_feature_excluded","hoa3","WT","BIRC3",0.00694334479301941,0.00674942131985027
"mtDNA_feature_excluded","hoa3","WT","BMP4",0.0128608858796269,-0.0232691664921166
"mtDNA_feature_excluded","hoa3","WT","BNIP3",-0.00209803888912119,0.00475943105196847
"mtDNA_feature_excluded","hoa3","WT","BNIP3L",0.00189654808692443,-0.00621139719706906
"mtDNA_feature_excluded","hoa3","WT","BTNL9",0.00859636087500786,-0.030401822291559
"mtDNA_feature_excluded","hoa3","WT","C11orf96",-0.0117121018432211,0.0195714774559546
"mtDNA_feature_excluded","hoa3","WT","C1orf54",0.0144098933560024,-0.0354340433685053
"mtDNA_feature_excluded","hoa3","WT","C2CD4B",0.00671909151031342,-0.0176450335695745
"mtDNA_feature_excluded","hoa3","WT","C7",0.00365740634434515,0.000887523225956589
"mtDNA_feature_excluded","hoa3","WT","CALCOCO2",-0.00381311962774324,-0.0186758840632583
"mtDNA_feature_excluded","hoa3","WT","CAT",0.00992220084503579,-0.0307871137505353
"mtDNA_feature_excluded","hoa3","WT","CBWD5",-0.0024938286464829,0.00603815501926876
"mtDNA_feature_excluded","hoa3","WT","CCL2",0.00264531445161037,0.000531989504110052
"mtDNA_feature_excluded","hoa3","WT","CCL23",-0.749650585979466,0.0615217527958317
"mtDNA_feature_excluded","hoa3","WT","CCN1",0.00040840893798205,-0.00103824163697945
"mtDNA_feature_excluded","hoa3","WT","CCN2",0.000136141998073803,1.12764408047584e-06
"mtDNA_feature_excluded","hoa3","WT","CCND1",0.00473794837875814,-0.0117507719035701
"mtDNA_feature_excluded","hoa3","WT","CD14",-0.00122855746926794,0.00222194067969978
"mtDNA_feature_excluded","hoa3","WT","CD300LG",0.0115463780955635,-0.0390527401830205
