"variant","donor","gene","wt_outgoing_weight","ko_outgoing_weight","absolute_wt_weight"
"mtDNA_feature_excluded","hoa3","VWF",-0.063,0,0.063
"mtDNA_feature_excluded","hoa3","NFKBIA",0.057,0,0.057
"mtDNA_feature_excluded","hoa3","C7",-0.048,0,0.048
"mtDNA_feature_excluded","hoa3","KDM6B",0.047,0,0.047
"mtDNA_feature_excluded","hoa3","ENG",-0.042,0,0.042
"mtDNA_feature_excluded","hoa3","MCL1",0.042,0,0.042
"mtDNA_feature_excluded","hoa3","ICAM1",0.041,0,0.041
"mtDNA_feature_excluded","hoa3","TIPARP",0.038,0,0.038
"mtDNA_feature_excluded","hoa3","EMCN",-0.033,0,0.033
"mtDNA_feature_excluded","hoa3","TNFAIP3",0.033,0,0.033
"mtDNA_feature_excluded","hoa3","ACKR1",-0.029,0,0.029
"mtDNA_feature_excluded","hoa3","ADAMTS4",0.028,0,0.028
"mtDNA_feature_excluded","hoa3","PECAM1",-0.028,0,0.028
"mtDNA_feature_excluded","hoa3","SELE",0.027,0,0.027
"mtDNA_feature_excluded","hoa3","CALCOCO2",-0.024,0,0.024
"mtDNA_feature_excluded","hoa3","HBEGF",0.023,0,0.023
"mtDNA_feature_excluded","hoa3","NFE2L2",0.022,0,0.022
"mtDNA_feature_excluded","hoa3","ADGRG6",-0.021,0,0.021
"mtDNA_feature_excluded","hoa3","MIR222HG",0.021,0,0.021
"mtDNA_feature_excluded","hoa3","SYNJ2",0.021,0,0.021
"mtDNA_feature_excluded","hoa3","MSX1",0.018,0,0.018
"mtDNA_feature_excluded","hoa3","SERPINE1",0.018,0,0.018
"mtDNA_feature_excluded","hoa3","TEK",-0.017,0,0.017
"mtDNA_feature_excluded","hoa3","VCAN",-0.017,0,0.017
"mtDNA_feature_excluded","hoa3","PRDX1",-0.016,0,0.016
"mtDNA_feature_excluded","hoa3","B3GNT5",0.015,0,0.015
"mtDNA_feature_excluded","hoa3","C11orf96",0.015,0,0.015
"mtDNA_feature_excluded","hoa3","C2CD4B",0.015,0,0.015
"mtDNA_feature_excluded","hoa3","COX4I1",-0.015,0,0.015
"mtDNA_feature_excluded","hoa3","UQCRB",-0.015,0,0.015
"mtDNA_feature_excluded","hoa3","EGR1",0.014,0,0.014
"mtDNA_feature_excluded","hoa3","HMOX1",0.014,0,0.014
"mtDNA_feature_excluded","hoa3","ATP5MC1",-0.013,0,0.013
"mtDNA_feature_excluded","hoa3","BIRC3",0.013,0,0.013
"mtDNA_feature_excluded","hoa3","COX6C",-0.013,0,0.013
"mtDNA_feature_excluded","hoa3","ADAMTS9",0.012,0,0.012
"mtDNA_feature_excluded","hoa3","CKS2",0.012,0,0.012
"mtDNA_feature_excluded","hoa3","CXCL2",0.012,0,0.012
"mtDNA_feature_excluded","hoa3","HIF1A",0.012,0,0.012
"mtDNA_feature_excluded","hoa3","MET",-0.012,0,0.012
"mtDNA_feature_excluded","hoa3","MIR22HG",0.012,0,0.012
"mtDNA_feature_excluded","hoa3","PHLDA1",0.012,0,0.012
"mtDNA_feature_excluded","hoa3","PRDX2",-0.012,0,0.012
"mtDNA_feature_excluded","hoa3","PRDX5",-0.012,0,0.012
"mtDNA_feature_excluded","hoa3","CR381670.1",-0.011,0,0.011
"mtDNA_feature_excluded","hoa3","FIS1",-0.011,0,0.011
"mtDNA_feature_excluded","hoa3","GPX4",-0.011,0,0.011
"mtDNA_feature_excluded","hoa3","NR4A2",0.011,0,0.011
"mtDNA_feature_excluded","hoa3","SOD1",-0.011,0,0.011
"mtDNA_feature_excluded","hoa3","CD300LG",-0.01,0,0.01
"mtDNA_feature_excluded","hoa3","NR4A1",0.01,0,0.01
"mtDNA_feature_excluded","hoa3","SLC25A44",0.01,0,0.01
"mtDNA_feature_excluded","hoa3","CAT",-0.009,0,0.009
"mtDNA_feature_excluded","hoa3","F8",-0.009,0,0.009
"mtDNA_feature_excluded","hoa3","ATP13A3",0.008,0,0.008
"mtDNA_feature_excluded","hoa3","F2RL3",0.008,0,0.008
"mtDNA_feature_excluded","hoa3","FMO2",-0.008,0,0.008
"mtDNA_feature_excluded","hoa3","HSPE1",-0.008,0,0.008
"mtDNA_feature_excluded","hoa3","ANKRD29",-0.007,0,0.007
"mtDNA_feature_excluded","hoa3","ATF3",0.007,0,0.007
"mtDNA_feature_excluded","hoa3","ATP5F1A",-0.007,0,0.007
"mtDNA_feature_excluded","hoa3","ATP5F1B",-0.007,0,0.007
"mtDNA_feature_excluded","hoa3","BMP4",-0.007,0,0.007
"mtDNA_feature_excluded","hoa3","CLDN5",-0.007,0,0.007
"mtDNA_feature_excluded","hoa3","DEPP1",-0.007,0,0.007
"mtDNA_feature_excluded","hoa3","EGR3",0.007,0,0.007
"mtDNA_feature_excluded","hoa3","FBLN2",-0.007,0,0.007
"mtDNA_feature_excluded","hoa3","NDUFB8",-0.007,0,0.007
"mtDNA_feature_excluded","hoa3","BTNL9",-0.006,0,0.006
"mtDNA_feature_excluded","hoa3","CREB5",0.006,0,0.006
"mtDNA_feature_excluded","hoa3","CYP1B1",-0.006,0,0.006
"mtDNA_feature_excluded","hoa3","ICAM4",0.006,0,0.006
"mtDNA_feature_excluded","hoa3","IKBKB",-0.006,0,0.006
"mtDNA_feature_excluded","hoa3","LEPR",-0.006,0,0.006
"mtDNA_feature_excluded","hoa3","MT2A",0.006,0,0.006
"mtDNA_feature_excluded","hoa3","NDUFA1",-0.006,0,0.006
"mtDNA_feature_excluded","hoa3","PLEKHG2",0.006,0,0.006
"mtDNA_feature_excluded","hoa3","SEMA3A",-0.006,0,0.006
"mtDNA_feature_excluded","hoa3","IL32",0.005,0,0.005
"mtDNA_feature_excluded","hoa3","KCNQ1OT1",0.005,0,0.005
"mtDNA_feature_excluded","hoa3","PIM1",0.005,0,0.005
"mtDNA_feature_excluded","hoa3","SEMA4A",0.005,0,0.005
"mtDNA_feature_excluded","hoa3","VCAM1",-0.005,0,0.005
"mtDNA_feature_excluded","hoa3","AKAP12",0.004,0,0.004
"mtDNA_feature_excluded","hoa3","CCL23",-0.004,0,0.004
"mtDNA_feature_excluded","hoa3","COX7A2",-0.004,0,0.004
"mtDNA_feature_excluded","hoa3","DGKE",-0.004,0,0.004
"mtDNA_feature_excluded","hoa3","FAN1",-0.004,0,0.004
"mtDNA_feature_excluded","hoa3","H19",0.004,0,0.004
"mtDNA_feature_excluded","hoa3","HES1",0.004,0,0.004
"mtDNA_feature_excluded","hoa3","HSPD1",-0.004,0,0.004
"mtDNA_feature_excluded","hoa3","JAG2",-0.004,0,0.004
"mtDNA_feature_excluded","hoa3","MAP1LC3B",0.004,0,0.004
"mtDNA_feature_excluded","hoa3","MEOX2",-0.004,0,0.004
"mtDNA_feature_excluded","hoa3","SNORD3A",-0.004,0,0.004
"mtDNA_feature_excluded","hoa3","AC010359.3",0.003,0,0.003
"mtDNA_feature_excluded","hoa3","ADAMTS6",-0.003,0,0.003
"mtDNA_feature_excluded","hoa3","BCL2L13",-0.003,0,0.003
"mtDNA_feature_excluded","hoa3","CCL2",0.003,0,0.003
"mtDNA_feature_excluded","hoa3","CXCL12",0.003,0,0.003
"mtDNA_feature_excluded","hoa3","EDNRB",0.003,0,0.003
"mtDNA_feature_excluded","hoa3","EMP3",-0.003,0,0.003
"mtDNA_feature_excluded","hoa3","FILIP1",-0.003,0,0.003
"mtDNA_feature_excluded","hoa3","GABRB2",-0.003,0,0.003
"mtDNA_feature_excluded","hoa3","GIGYF2",-0.003,0,0.003
"mtDNA_feature_excluded","hoa3","GPRC5B",-0.003,0,0.003
"mtDNA_feature_excluded","hoa3","IFIT1",-0.003,0,0.003
"mtDNA_feature_excluded","hoa3","INHBB",0.003,0,0.003
"mtDNA_feature_excluded","hoa3","ISG15",-0.003,0,0.003
"mtDNA_feature_excluded","hoa3","KDR",-0.003,0,0.003
"mtDNA_feature_excluded","hoa3","LAMA3",-0.003,0,0.003
"mtDNA_feature_excluded","hoa3","MAP1B",0.003,0,0.003
"mtDNA_feature_excluded","hoa3","PHB2",-0.003,0,0.003
