task_id,auc,average_precision,brier
0,0.9199999999999999,0.9705096964519868,0.10025266401652524
1,0.9366666666666668,0.9791043079951126,0.12569911169736941
2,0.8899999999999999,0.9483050356443848,0.12703593028277932
3,0.93,0.9739005687314154,0.07246817631143043
4,0.8733333333333333,0.9155234541169203,0.12404136148945777
5,0.91,0.9546823884461444,0.0992439965485017
6,0.9033333333333333,0.9388751438601641,0.09782204749936516
7,0.8899999999999999,0.9539990557579453,0.11421614636386482
8,0.9233333333333333,0.9688570255374482,0.09625948896684824
9,0.8766666666666667,0.9439671537195464,0.13891462988038644
10,0.88,0.9434856820471789,0.1266557292716371
11,0.8866666666666666,0.956296519968453,0.12015028520223552
12,0.8966666666666667,0.9315163019851933,0.0983957154524362
13,0.88,0.9448705315744432,0.11784310959839464
14,0.9366666666666665,0.9777833026602573,0.08772456601372566
15,0.8633333333333333,0.9125109247633175,0.12301303014272177
16,0.84,0.906831763688664,0.1140591645513215
17,0.8633333333333334,0.8858662453836246,0.09549041899341075
18,0.8866666666666667,0.9447445491021538,0.1268315264646666
19,0.8799999999999999,0.9457322343826782,0.10691586371084823
20,0.8700000000000001,0.9255571392850448,0.09975052140882591
21,0.8633333333333333,0.9437172031500056,0.12268187920552831
22,0.8766666666666667,0.9296321885197723,0.12041801267107848
23,0.88,0.9513433642972761,0.1125266258128319
24,0.8866666666666666,0.9537288055216641,0.10627506410182427
25,0.92,0.9580099442449646,0.08601070280143144
26,0.9099999999999999,0.9454701259390172,0.12486069241497248
27,0.9333333333333333,0.9763615366495445,0.10040870130033877
28,0.8966666666666667,0.9313172115963495,0.10769073171526762
29,0.9133333333333333,0.9603757673817832,0.0901050738159711
30,0.8999999999999999,0.9587327745721239,0.1056308206496737
31,0.8799999999999999,0.9183860411753347,0.12984870771312124
32,0.8966666666666666,0.9554948373710875,0.11483074176218096
33,0.9066666666666667,0.9513952083122773,0.11668973019173565
34,0.9233333333333333,0.9563537315806874,0.11200980576726546
35,0.9400000000000001,0.9761815818816124,0.10343680024032657
36,0.87,0.9378039317484932,0.11306833318258276
37,0.8766666666666667,0.9348822595626822,0.11719482494578437
38,0.9033333333333333,0.9470114328585221,0.09135955465453671
39,0.9266666666666666,0.9736496350245994,0.1118393978463903
40,0.9199999999999999,0.9669902257203795,0.09810913978243725
41,0.9566666666666666,0.9860509892835161,0.10536082485579468
42,0.8733333333333333,0.9465593781221608,0.1307179312819935
43,0.8766666666666666,0.9503099461557922,0.11642860480139375
44,0.93,0.9686426640156154,0.08558151322011653
45,0.8433333333333333,0.9334478000671351,0.09564548066298133
46,0.8833333333333333,0.9094364769502329,0.11155079001634578
47,0.9099999999999999,0.9573454643514802,0.11683361604013331
48,0.94,0.9799271893636082,0.11816224889653618
49,0.91,0.9652375814840362,0.10087039839671319
50,0.8733333333333334,0.9053593127027788,0.10650331559732526
51,0.8666666666666666,0.9322962474619713,0.1378847873961556
52,0.8899999999999999,0.9450075811010472,0.10240480018959189
53,0.8966666666666667,0.923749316622268,0.11844229689524358
