gene,n_outer_fits,n_nonzero,nonzero_frequency,n_positive,n_negative,positive_frequency_all_fits,negative_frequency_all_fits,dominant_direction,direction_consistency_given_selected,coefficient_median_all,coefficient_q1_all,coefficient_q3_all,coefficient_median_nonzero,coefficient_q1_nonzero,coefficient_q3_nonzero,stable_frequency_ge_0_60,stable_frequency_and_direction,repeat_0_nonzero_count,repeat_1_nonzero_count,repeat_2_nonzero_count,repeat_3_nonzero_count,repeat_4_nonzero_count
MCL1,25,2,0.08,2,0,0.08,0.0,positive,1.0,0.0,0.0,0.0,0.12316766517087081,0.10692389423851634,0.1394114361032253,False,False,1,1,0,0,0
MFF,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
MFN1,25,6,0.24,0,6,0.0,0.24,negative,1.0,0.0,0.0,0.0,-0.32490888485912417,-0.6807827979513117,-0.14673178969833278,False,False,1,1,2,1,1
MFN2,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
MIEF1,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
MIEF2,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
MST1,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
MTCH2,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
MTFR1,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
MTFR1L,25,4,0.16,4,0,0.16,0.0,positive,1.0,0.0,0.0,0.0,0.22573736773099148,0.17223207932149334,0.24576055621618348,False,False,0,1,1,1,1
MTOR,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
NBR1,25,5,0.2,5,0,0.2,0.0,positive,1.0,0.0,0.0,0.0,0.29982106656680546,0.2479630171193474,0.3728791097464642,False,False,1,1,2,0,1
NFKB1,25,4,0.16,4,0,0.16,0.0,positive,1.0,0.0,0.0,0.0,0.27767416502730596,0.18641397648103866,0.45100906841056687,False,False,1,0,1,1,1
OPA1,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
OPTN,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
PHB2,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
PINK1,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
PLD6,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
PMAIP1,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
RELA,25,1,0.04,1,0,0.04,0.0,positive,1.0,0.0,0.0,0.0,0.11853362464739625,0.11853362464739625,0.11853362464739625,False,False,0,1,0,0,0
RHEB,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
RPS6KB1,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
RPTOR,25,1,0.04,1,0,0.04,0.0,positive,1.0,0.0,0.0,0.0,0.12682343082409295,0.12682343082409295,0.12682343082409295,False,False,0,0,1,0,0
SQSTM1,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
TAX1BP1,25,10,0.4,0,10,0.0,0.4,negative,1.0,0.0,-0.5857834300727361,0.0,-0.8625022917684917,-1.4857249460995168,-0.5434973762325833,False,False,1,2,2,3,2
TBK1,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
TEAD1,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
