attempt_id,n_oob_case,n_oob_control,n_unique_train,valid,invalid_reason,candidate_auc,candidate_ap,candidate_brier,ma_auc,ma_ap,ma_brier,delta_auc,delta_ap,delta_brier,candidate_best_C,ma_best_C,candidate_n_selected
0,9,4,27,True,,1.0,1.0000000000000002,0.07628844264070098,0.8055555555555556,0.8782627865961199,0.24427827887469872,0.19444444444444442,0.12173721340388033,-0.16798983623399774,21.54434690031882,0.001,11
1,13,3,24,True,,0.7435897435897436,0.9101362312900775,0.11988389768048904,0.6666666666666667,0.9177846725923648,0.24758639638203275,0.07692307692307687,-0.007648441302287368,-0.1277024987015437,10.0,0.001,8
2,13,5,22,True,,0.9076923076923077,0.962730858884705,0.09449342600283976,0.6461538461538461,0.8394593654209037,0.2455455937812583,0.2615384615384616,0.12327149346380128,-0.1510521677784185,0.46415888336127775,0.001,6
3,9,2,29,True,,0.5,0.7856701940035274,0.19080873689565367,0.4444444444444444,0.8222582972582972,0.17655184300792764,0.05555555555555558,-0.0365881032547698,0.014256893887726024,0.1,1.0,4
4,12,4,24,True,,0.6041666666666666,0.8011285011285011,0.16929558966150215,0.9166666666666666,0.9707362082362082,0.24599883556919483,-0.3125,-0.16960770710770712,-0.07670324590769267,2.154434690031882,0.001,9
5,10,4,26,True,,1.0,0.9999999999999999,0.035423007536377456,1.0,0.9999999999999999,0.2449740167904991,0.0,0.0,-0.20955100925412165,1.0,0.001,10
6,9,4,27,True,,0.75,0.7856701940035273,0.11594194800160637,1.0,1.0000000000000002,0.1319462241112433,-0.25,-0.2143298059964729,-0.016004276109636922,2.154434690031882,0.21544346900318823,10
7,7,3,30,True,,1.0,1.0,0.0016538462531791097,1.0,1.0,0.15044581055632236,0.0,0.0,-0.14879196430314326,4.6415888336127775,0.46415888336127775,8
8,9,3,28,True,,0.6666666666666667,0.7856701940035273,0.12196714816293551,0.8148148148148149,0.9436868686868689,0.1927190459584487,-0.14814814814814814,-0.15801667468334157,-0.07075189779551318,1.0,1.0,7
9,10,4,26,True,,0.95,0.9809090909090908,0.07133612928253745,0.775,0.8737698412698411,0.14593194669349366,0.17499999999999993,0.1071392496392497,-0.07459581741095621,21.54434690031882,0.46415888336127775,10
10,8,3,29,True,,0.7500000000000001,0.875545634920635,0.18371059258776723,0.8333333333333334,0.9317956349206349,0.24634180701142558,-0.08333333333333326,-0.05624999999999991,-0.06263121442365835,0.1,0.001,2
