repeat,outer_fold,gene,coefficient,nonzero
0,2,MIEF1,0.0,False
0,2,MIEF2,0.0,False
0,2,MST1,0.0,False
0,2,MTCH2,0.0,False
0,2,MTFR1,0.0,False
0,2,MTFR1L,0.0,False
0,2,MTOR,0.0,False
0,2,NBR1,0.0,False
0,2,NFKB1,0.0,False
0,2,OPA1,0.0,False
0,2,OPTN,0.0,False
0,2,PHB2,0.0,False
0,2,PINK1,0.0,False
0,2,PLD6,0.0,False
0,2,PMAIP1,0.0,False
0,2,RELA,0.0,False
0,2,RHEB,0.0,False
0,2,RPS6KB1,0.0,False
0,2,RPTOR,0.0,False
0,2,SQSTM1,0.0,False
0,2,TAX1BP1,0.0,False
0,2,TBK1,0.0,False
0,2,TEAD1,0.0,False
0,2,TEAD4,0.0,False
0,2,TMEM173,0.0,False
0,2,TNF,0.0,False
0,2,TSC1,0.0,False
0,2,TSC2,0.0,False
0,2,ULK1,0.0,False
0,2,VCP,0.0,False
0,2,VDAC1,0.0,False
0,2,VDAC2,0.0,False
0,2,VDAC3,0.0,False
0,2,WWTR1,0.0,False
0,2,YAP1,0.0,False
0,3,AKT1,0.07442146407380162,True
0,3,AMBRA1,-0.2104765882349587,True
0,3,ATG5,0.0,False
0,3,ATG7,0.0,False
0,3,BAK1,0.0,False
0,3,BAX,0.0,False
0,3,BBC3,0.0,False
0,3,BCL2,0.0,False
0,3,BCL2L1,0.0,False
0,3,BCL2L13,0.0,False
0,3,BID,0.0,False
0,3,BNIP3,0.0,False
0,3,BNIP3L,0.0,False
0,3,CALCOCO2,0.0,False
0,3,CCL5,0.0,False
0,3,CHUK,0.0,False
0,3,CXCL10,0.0,False
0,3,DNM1,0.0,False
0,3,DNM1L,0.0,False
0,3,DNM2,0.0,False
0,3,EIF4EBP1,0.0,False
0,3,FIS1,0.0,False
0,3,FKBP8,-0.05015446677204878,True
0,3,FUNDC1,0.0,False
0,3,GABARAP,0.0,False
0,3,GABARAPL2,-0.43189154882188935,True
0,3,GDAP1,0.0,False
0,3,GIGYF1,0.0,False
0,3,GIGYF2,0.15642725086903594,True
0,3,HIF1A,0.0,False
0,3,IKBKB,0.0,False
0,3,IL6,0.0,False
0,3,INF2,0.0,False
0,3,IRF3,0.0,False
0,3,IRF7,0.0,False
0,3,LATS1,0.0,False
0,3,LATS2,0.0,False
0,3,MAP1LC3B,0.0,False
0,3,MCL1,0.0,False
0,3,MFF,0.0,False
0,3,MFN1,0.0,False
0,3,MFN2,0.0,False
0,3,MIEF1,0.0,False
0,3,MIEF2,0.0,False
0,3,MST1,0.0,False
0,3,MTCH2,0.0,False
0,3,MTFR1,0.0,False
0,3,MTFR1L,0.0,False
0,3,MTOR,0.0,False
0,3,NBR1,0.11471849160515028,True
0,3,NFKB1,0.19074943382414686,True
0,3,OPA1,0.0,False
0,3,OPTN,0.0,False
0,3,PHB2,0.0,False
0,3,PINK1,0.0,False
0,3,PLD6,0.0,False
0,3,PMAIP1,0.0,False
0,3,RELA,0.0,False
0,3,RHEB,0.0,False
0,3,RPS6KB1,0.0,False
0,3,RPTOR,0.0,False
0,3,SQSTM1,0.0,False
0,3,TAX1BP1,0.0,False
0,3,TBK1,0.0,False
0,3,TEAD1,0.0,False
0,3,TEAD4,0.0,False
0,3,TMEM173,0.0,False
0,3,TNF,0.0,False
0,3,TSC1,0.0,False
0,3,TSC2,0.0,False
0,3,ULK1,0.0,False
0,3,VCP,0.0,False
0,3,VDAC1,0.0,False
0,3,VDAC2,0.0,False
0,3,VDAC3,0.0,False
0,3,WWTR1,0.0,False
0,3,YAP1,0.0,False
0,4,AKT1,0.0,False
0,4,AMBRA1,-1.5550428542767287,True
0,4,ATG5,0.0,False
0,4,ATG7,0.1548181937187728,True
0,4,BAK1,0.0,False
0,4,BAX,-0.4284449644645816,True
0,4,BBC3,0.0,False
0,4,BCL2,0.2527236287626634,True
0,4,BCL2L1,0.0,False
0,4,BCL2L13,0.0,False
0,4,BID,0.0,False
0,4,BNIP3,0.0,False
0,4,BNIP3L,-0.7057832025392011,True
0,4,CALCOCO2,0.0,False
0,4,CCL5,0.0,False
0,4,CHUK,0.0,False
0,4,CXCL10,0.0,False
0,4,DNM1,0.0,False
0,4,DNM1L,0.0,False
0,4,DNM2,0.0,False
0,4,EIF4EBP1,0.0,False
0,4,FIS1,0.0,False
0,4,FKBP8,-1.103555661317772,True
0,4,FUNDC1,0.0,False
0,4,GABARAP,0.0,False
0,4,GABARAPL2,-1.3655398463608668,True
0,4,GDAP1,0.0,False
0,4,GIGYF1,0.0,False
0,4,GIGYF2,0.0,False
0,4,HIF1A,0.0,False
0,4,IKBKB,0.0,False
0,4,IL6,0.0,False
0,4,INF2,0.0,False
0,4,IRF3,0.0,False
0,4,IRF7,0.0,False
