task_id,n_rows,n_unique_task_fold,expanded_fraction,max_distance,mean_abs_expression_difference,mean_abs_logvariance_difference,complete_25_folds_x_77,all_folds_have_77_unique
0,1925,77,0.0,0,0.48739692753246755,0.04171885991227816,True,True
1,1925,77,0.0,0,0.48314318806818185,0.040804893406255996,True,True
2,1925,77,0.0,0,0.46688062808441555,0.04032945250457876,True,True
3,1925,77,0.0,0,0.4846235235227272,0.04389392782642302,True,True
4,1925,77,0.0,0,0.46721654925324674,0.04116895698956874,True,True
5,1925,77,0.0,0,0.4846903694805195,0.04175466543703916,True,True
6,1925,77,0.0,0,0.4828852249188311,0.0425013768515362,True,True
7,1925,77,0.0,0,0.4569672963474026,0.04236753703249496,True,True
8,1925,77,0.0,0,0.46520193146103894,0.042606089758359916,True,True
9,1925,77,0.0,0,0.47710332422077917,0.042238377141675776,True,True
10,1925,77,0.0,0,0.46109630508116883,0.038871936487128826,True,True
11,1925,77,0.0,0,0.4754983574837662,0.04358604308691314,True,True
12,1925,77,0.0,0,0.4769530555681818,0.041719501422876684,True,True
13,1925,77,0.0,0,0.4667540646915585,0.038153217249060886,True,True
14,1925,77,0.0,0,0.47108361456168824,0.043247309512348946,True,True
15,1925,77,0.0,0,0.471162408198052,0.04181695492899769,True,True
16,1925,77,0.0,0,0.47911201068181813,0.04107615409974899,True,True
17,1925,77,0.0,0,0.47060920425324676,0.04372629951241584,True,True
18,1925,77,0.0,0,0.45668967389610393,0.043034882943706394,True,True
19,1925,77,0.0,0,0.46729107819805193,0.041331321496669036,True,True
20,1925,77,0.0,0,0.47049381105519483,0.039516687629580056,True,True
21,1925,77,0.0,0,0.4690149241558442,0.04240810987779008,True,True
22,1925,77,0.0,0,0.4632492459090909,0.04027539346466248,True,True
23,1925,77,0.0,0,0.4692091020292208,0.03892525511389606,True,True
24,1925,77,0.0,0,0.47663471358766235,0.042254045568456945,True,True
25,1925,77,0.0,0,0.4752406053246753,0.03838752102355354,True,True
26,1925,77,0.0,0,0.47840534282467534,0.04081034972792227,True,True
27,1925,77,0.0,0,0.4792875044480519,0.04066675315351669,True,True
28,1925,77,0.0,0,0.4911503051785714,0.03879820323095152,True,True
29,1925,77,0.0,0,0.4891217375974026,0.03964215338023491,True,True
30,1925,77,0.0,0,0.46549311748376626,0.040482213893333466,True,True
31,1925,77,0.0,0,0.4741511689772728,0.04179215648208348,True,True
32,1925,77,0.0,0,0.47601917732142857,0.04037027409254646,True,True
33,1925,77,0.0,0,0.4788704604707792,0.039914191034506045,True,True
34,1925,77,0.0,0,0.48059166717532464,0.04124199707314388,True,True
35,1925,77,0.0,0,0.48007735436688315,0.04088225265075401,True,True
36,1925,77,0.0,0,0.47344208951298705,0.04672463705892762,True,True
37,1925,77,0.0,0,0.474208760974026,0.04504328069132464,True,True
38,1925,77,0.0,0,0.4725199723701298,0.041788218533355743,True,True
39,1925,77,0.0,0,0.46190950615259746,0.043219562407566824,True,True
40,1925,77,0.0,0,0.4768513989285714,0.040504845550013276,True,True
41,1925,77,0.0,0,0.47420846160714286,0.04377317982712267,True,True
42,1925,77,0.0,0,0.4843034412337662,0.041478219986395434,True,True
43,1925,77,0.0,0,0.4688233525162338,0.043837706485778255,True,True
44,1925,77,0.0,0,0.4694904743668831,0.039586762606889175,True,True
45,1925,77,0.0,0,0.47611023800324676,0.04046035078016611,True,True
46,1925,77,0.0,0,0.4704419145292208,0.040848029669216315,True,True
47,1925,77,0.0,0,0.47882240579545454,0.04299596471316636,True,True
48,1925,77,0.0,0,0.49060640894480523,0.04151708514132372,True,True
49,1925,77,0.0,0,0.47091657826298705,0.040973009206825936,True,True
50,1925,77,0.0,0,0.4870532013798701,0.04115665174833377,True,True
51,1925,77,0.0,0,0.47833867133116886,0.042971590783287744,True,True
52,1925,77,0.0,0,0.47237057941558447,0.038871258827990404,True,True
53,1925,77,0.0,0,0.46186884259740263,0.042058208756178855,True,True
54,1925,77,0.0,0,0.47241635108766233,0.04110068792407772,True,True
55,1925,77,0.0,0,0.4582997362987013,0.04456135584972404,True,True
56,1925,77,0.0,0,0.4869429444155844,0.04280594155957179,True,True
57,1925,77,0.0,0,0.47387854910714283,0.047071273859764784,True,True
58,1925,77,0.0,0,0.4559525899837662,0.04335433007887835,True,True
59,1925,77,0.0,0,0.477408802987013,0.04296124680575104,True,True
60,1925,77,0.0,0,0.4694088937337662,0.04061848011413971,True,True
61,1925,77,0.0,0,0.47851507071428573,0.037329951474957795,True,True
62,1925,77,0.0,0,0.4878377115746753,0.04167504444276593,True,True
