repeat,outer_fold,model,gene,selected_probe,n_candidate_probes,training_mean_expression,tie_count,selection_rule
0,0,candidate,MTOR,11716134_a_at,3,6.42827703125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,NBR1,11738519_x_at,6,7.76459259375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,NFKB1,11717542_a_at,1,8.80908215625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,OPA1,11757614_s_at,5,6.22586896875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,OPTN,11745271_x_at,3,8.79686409375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,PHB2,11715383_a_at,3,8.742765625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,PINK1,11726996_at,2,8.925368156249998,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,PLD6,11725448_at,2,4.7149410624999994,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,PMAIP1,11724509_a_at,2,6.63198540625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,RELA,11745440_s_at,3,7.8856759062499995,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,RHEB,11716260_s_at,4,8.395106343750001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,RPS6KB1,11750648_x_at,7,6.730444593750001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,RPTOR,11722498_s_at,6,4.83515021875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,SQSTM1,11756761_x_at,5,9.142495531249999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,TAX1BP1,11752195_s_at,5,9.407565,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,TBK1,11717931_at,2,7.733459375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,TEAD1,11752086_a_at,3,5.435367718749999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,TEAD4,11733699_a_at,1,4.8171046875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,TMEM173,11727044_a_at,1,6.9623925,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,TNF,11721577_at,1,6.4910690312499995,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,TSC1,11718820_at,4,7.25751628125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,TSC2,11756886_a_at,2,6.11301034375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,ULK1,11744271_a_at,1,6.468667125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,VCP,11745875_x_at,4,8.2066398125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,VDAC1,11715655_s_at,1,7.57857684375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,VDAC2,11748509_s_at,2,9.438983718749999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,VDAC3,11754510_s_at,3,9.316917375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,WWTR1,11755099_a_at,3,6.717266875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,YAP1,11717924_a_at,8,4.560860249999999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,ma,BID,11732218_x_at,4,8.244200375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,ma,FTH1,11757633_x_at,2,12.270650625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,ma,LACTB,11721387_at,2,7.5799241875000005,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,ma,PDK3,11730952_a_at,1,5.842877281249999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,AKT1,11716087_s_at,3,7.244176031249999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,AMBRA1,11741563_a_at,3,6.40416965625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,ATG5,11718147_a_at,3,6.310839125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,ATG7,11750782_a_at,3,5.778621218750001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,BAK1,11748849_a_at,5,7.1517515,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,BAX,11742537_a_at,2,6.2583199687499995,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,BBC3,11727707_a_at,2,8.2771464375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,BCL2,11721376_at,6,7.4143755,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,BCL2L1,11739958_x_at,3,9.679017875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,BCL2L13,11747880_a_at,7,7.59200378125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,BID,11732218_x_at,4,8.232986125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,BNIP3,11743084_s_at,2,5.5738515,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,BNIP3L,11746802_x_at,6,11.117335624999999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,CALCOCO2,11744395_s_at,5,8.528260125000001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,CCL5,11753810_a_at,3,10.7134483125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,CHUK,11754797_a_at,1,6.57388228125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,CXCL10,11720298_at,1,4.8873701875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,DNM1,11761584_x_at,3,5.30725475,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,DNM1L,11742435_a_at,4,7.345556625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,DNM2,11735759_a_at,3,9.28610434375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,EIF4EBP1,11718284_x_at,3,7.2245071875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,FIS1,11723286_a_at,1,8.297151343749999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,FKBP8,11743133_a_at,3,7.3365865,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,FUNDC1,11731671_at,1,5.96852734375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,GABARAP,11715479_a_at,4,11.55420875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,GABARAPL2,11754495_x_at,4,10.203090812500001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,GDAP1,11739561_at,4,4.19394246875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,GIGYF1,11720122_at,5,8.02470234375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,GIGYF2,11739463_a_at,7,5.962125625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,HIF1A,11718757_s_at,8,9.071074374999998,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,IKBKB,11730928_a_at,11,7.98396209375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,IL6,11760425_a_at,2,4.521778781249999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,INF2,11736439_a_at,5,6.1528835937499995,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,IRF3,11745499_x_at,6,6.44728684375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,IRF7,11718916_a_at,1,8.637782,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,LATS1,11745334_a_at,3,3.0415202499999996,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,LATS2,11755581_a_at,3,6.738275875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,MAP1LC3B,11738984_x_at,4,9.65489228125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,MCL1,11715483_s_at,6,11.906913843749999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,MFF,11745184_a_at,5,7.66700728125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,MFN1,11731456_at,3,6.64950490625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,MFN2,11741010_a_at,3,8.535743,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,MIEF1,11757944_s_at,3,6.22680565625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,MIEF2,11735347_a_at,1,4.32111428125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,MST1,11721819_x_at,2,5.231497968749999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,MTCH2,11721075_a_at,2,6.86188734375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,MTFR1,11725658_a_at,5,5.65827809375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,MTFR1L,11735789_a_at,8,7.032571687500001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,MTOR,11716134_a_at,3,6.3684555625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,NBR1,11738519_x_at,6,7.78501571875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,NFKB1,11717542_a_at,1,8.798987343750001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,OPA1,11740746_s_at,5,6.2682813125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,OPTN,11745271_x_at,3,8.786317624999999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,PHB2,11715383_a_at,3,8.6482726875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,PINK1,11726996_at,2,9.02353321875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,PLD6,11725448_at,2,4.821211187499999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,PMAIP1,11724509_a_at,2,6.4771104062500005,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,RELA,11745440_s_at,3,7.8736841875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,RHEB,11716260_s_at,4,8.309340281250002,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,RPS6KB1,11750648_x_at,7,6.638549218750001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,RPTOR,11722498_s_at,6,4.89644846875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,SQSTM1,11756761_x_at,5,9.1499960625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,TAX1BP1,11752195_s_at,5,9.4460763125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,TBK1,11717931_at,2,7.66412284375,1,highest outer-training mean; exact ties by lexicographic probe ID
