"profile","donor","Gene","common_rank_original","rank_percentile_original","p_value_original","common_adjusted_p_value_original","common_rank_mt_excluded","rank_percentile_mt_excluded","p_value_mt_excluded","common_adjusted_p_value_mt_excluded","rank_percentile_shift"
"manuscript","hoa2","ARL4C",257,0.873720136518771,0.999441096311517,0.999999999996351,232,0.78839590443686,0.999895443046332,0.999999999970122,-0.0853242320819113
"manuscript","hoa2","ATF3",33,0.109215017064846,0.853232805244475,0.999999999996351,76,0.255972696245734,0.90660317213049,0.999999999970122,0.146757679180887
"manuscript","hoa2","ATG5",267,0.907849829351536,0.999675425663092,0.999999999996351,257,0.873720136518771,0.999948963041318,0.999999999970122,-0.0341296928327645
"manuscript","hoa2","ATP13A3",72,0.242320819112628,0.958742186505031,0.999999999996351,60,0.201365187713311,0.862278919053664,0.999999999970122,-0.0409556313993174
"manuscript","hoa2","ATP5F1A",155,0.525597269624573,0.990428111371327,0.999999999996351,28,0.0921501706484642,0.706914625208482,0.999999999970122,-0.433447098976109
"manuscript","hoa2","ATP5F1B",170,0.57679180887372,0.992384752527343,0.999999999996351,120,0.406143344709898,0.974104048345463,0.999999999970122,-0.170648464163823
"manuscript","hoa2","ATP5MC1",71,0.238907849829352,0.95482097989204,0.999999999996351,107,0.361774744027304,0.959735425972593,0.999999999970122,0.122866894197952
"manuscript","hoa2","ATP8A1",209,0.709897610921502,0.996649140590768,0.999999999996351,133,0.450511945392491,0.983542057705626,0.999999999970122,-0.25938566552901
"manuscript","hoa2","B3GNT5",99,0.334470989761092,0.974908189400212,0.999999999996351,169,0.573378839590444,0.995836071135566,0.999999999970122,0.238907849829352
"manuscript","hoa2","BAX",138,0.467576791808874,0.987741536560607,0.999999999996351,202,0.686006825938567,0.999718835235466,0.999999999970122,0.218430034129693
"manuscript","hoa2","BCL2L1",271,0.921501706484642,0.999733454836548,0.999999999996351,291,0.989761092150171,0.999994123736058,0.999999999970122,0.0682593856655289
"manuscript","hoa2","BCL2L13",198,0.672354948805461,0.996081087361504,0.999999999996351,280,0.95221843003413,0.999980163808033,0.999999999970122,0.279863481228669
"manuscript","hoa2","BGN",216,0.733788395904437,0.996961695956648,0.999999999996351,212,0.720136518771331,0.999830053099452,0.999999999970122,-0.0136518771331058
"manuscript","hoa2","BID",259,0.880546075085324,0.999462871111193,0.999999999996351,210,0.713310580204778,0.99982315665277,0.999999999970122,-0.167235494880546
"manuscript","hoa2","BIRC3",181,0.614334470989761,0.993484902802622,0.999999999996351,165,0.559726962457338,0.99508089202884,0.999999999970122,-0.0546075085324232
"manuscript","hoa2","BMP4",67,0.225255972696246,0.945083861714226,0.999999999996351,192,0.651877133105802,0.999287579371643,0.999999999970122,0.426621160409556
"manuscript","hoa2","BNIP3",51,0.170648464163823,0.908918236667689,0.999999999996351,205,0.696245733788396,0.999778806526568,0.999999999970122,0.525597269624573
"manuscript","hoa2","BNIP3L",125,0.42320819112628,0.98325975348334,0.999999999996351,236,0.802047781569966,0.999904522704041,0.999999999970122,0.378839590443686
"manuscript","hoa2","BTNL9",54,0.180887372013652,0.915720553016241,0.999999999996351,23,0.0750853242320819,0.689356153807092,0.999999999970122,-0.10580204778157
"manuscript","hoa2","C11orf96",46,0.15358361774744,0.902065227904422,0.999999999996351,117,0.395904436860068,0.970905629422634,0.999999999970122,0.242320819112628
"manuscript","hoa2","C1orf54",256,0.870307167235495,0.999411242534482,0.999999999996351,200,0.679180887372014,0.999699062547775,0.999999999970122,-0.191126279863481
"manuscript","hoa2","C2CD4B",57,0.191126279863481,0.925519234368921,0.999999999996351,146,0.494880546075085,0.98786288671465,0.999999999970122,0.303754266211604
"manuscript","hoa2","C7",16,0.0511945392491468,0.711823691793984,0.999999999996351,175,0.593856655290102,0.996356104142325,0.999999999970122,0.542662116040956
"manuscript","hoa2","CALCOCO2",107,0.361774744027304,0.976623426789838,0.999999999996351,84,0.283276450511945,0.935688867630503,0.999999999970122,-0.0784982935153584
"manuscript","hoa2","CAT",30,0.0989761092150171,0.835907889027972,0.999999999996351,93,0.313993174061433,0.950079083058191,0.999999999970122,0.215017064846416
"manuscript","hoa2","CBWD5",254,0.863481228668942,0.999360414589906,0.999999999996351,170,0.57679180887372,0.99589681090958,0.999999999970122,-0.286689419795222
"manuscript","hoa2","CCL2",61,0.204778156996587,0.940022907175599,0.999999999996351,145,0.491467576791809,0.987790420716088,0.999999999970122,0.286689419795222
"manuscript","hoa2","CCL23",233,0.791808873720137,0.998449556158843,0.999999999996351,152,0.515358361774744,0.99170350994063,0.999999999970122,-0.276450511945392
"manuscript","hoa2","CCN1",213,0.723549488054608,0.996939703429336,0.999999999996351,245,0.832764505119454,0.999918820536831,0.999999999970122,0.109215017064846
"manuscript","hoa2","CCN2",294,1,0.999999999996351,0.999999999996351,293,0.996587030716723,0.999998660822313,0.999999999970122,-0.0034129692832765
"manuscript","hoa2","CCND1",132,0.447098976109215,0.98633833061821,0.999999999996351,112,0.378839590443686,0.966813272596846,0.999999999970122,-0.068259385665529
"manuscript","hoa2","CD14",212,0.720136518771331,0.996937107102108,0.999999999996351,243,0.825938566552901,0.999917762380876,0.999999999970122,0.10580204778157
"manuscript","hoa2","CD300LG",48,0.160409556313993,0.906601589487548,0.999999999996351,63,0.21160409556314,0.867116718276983,0.999999999970122,0.0511945392491468
"manuscript","hoa2","CD83",83,0.279863481228669,0.966803972442001,0.999999999996351,140,0.474402730375427,0.986892407259905,0.999999999970122,0.194539249146758
"manuscript","hoa2","CDH13",92,0.310580204778157,0.971966609871498,0.999999999996351,72,0.242320819112628,0.892811178155566,0.999999999970122,-0.068259385665529
"manuscript","hoa2","CGAS",289,0.982935153583618,0.999991343287907,0.999999999996351,132,0.447098976109215,0.983337843374338,0.999999999970122,-0.535836177474403
"manuscript","hoa2","CKS2",22,0.0716723549488055,0.795636271303548,0.999999999996351,69,0.232081911262799,0.889214823539341,0.999999999970122,0.160409556313993
"manuscript","hoa2","CLDN5",160,0.542662116040956,0.990813097501514,0.999999999996351,38,0.126279863481229,0.781263011309709,0.999999999970122,-0.416382252559727
"manuscript","hoa2","CLPP",285,0.969283276450512,0.999979581863232,0.999999999996351,249,0.84641638225256,0.999932746931221,0.999999999970122,-0.122866894197952
"manuscript","hoa2","CNKSR3",76,0.255972696245734,0.962579874130817,0.999999999996351,113,0.382252559726962,0.967408977106444,0.999999999970122,0.126279863481229
"manuscript","hoa2","COX4I1",70,0.235494880546075,0.953950641362829,0.999999999996351,19,0.0614334470989761,0.575714217002719,0.999999999970122,-0.174061433447099
"manuscript","hoa2","COX5A",75,0.252559726962457,0.962252457965894,0.999999999996351,68,0.228668941979522,0.889123961047219,0.999999999970122,-0.0238907849829351
"manuscript","hoa2","COX6C",85,0.286689419795222,0.969479565464501,0.999999999996351,26,0.0853242320819113,0.706264298558996,0.999999999970122,-0.201365187713311
"manuscript","hoa2","COX7A2",103,0.348122866894198,0.975975154223594,0.999999999996351,186,0.631399317406143,0.998648420692925,0.999999999970122,0.283276450511945
"manuscript","hoa2","CR381670.1",80,0.26962457337884,0.964934737733408,0.999999999996351,158,0.535836177474403,0.993404259277251,0.999999999970122,0.266211604095563
"manuscript","hoa2","CREB5",97,0.327645051194539,0.974492014788843,0.999999999996351,151,0.511945392491468,0.991625079922619,0.999999999970122,0.184300341296928
"manuscript","hoa2","CRIP1",109,0.368600682593857,0.977466689015735,0.999999999996351,126,0.426621160409556,0.977404614339837,0.999999999970122,0.0580204778156997
"manuscript","hoa2","CX3CL1",249,0.84641638225256,0.999233505675485,0.999999999996351,214,0.726962457337884,0.9998345139087,0.999999999970122,-0.119453924914676
"manuscript","hoa2","CXCL12",174,0.590443686006826,0.99297352859471,0.999999999996351,25,0.0819112627986348,0.694753864330957,0.999999999970122,-0.508532423208191
"manuscript","hoa2","CXCL2",8,0.0238907849829352,0.64165570085778,0.999999999996351,17,0.0546075085324232,0.535217263962326,0.999999999970122,0.0307167235494881
"manuscript","hoa2","CXCL3",24,0.0784982935153584,0.798536569529548,0.999999999996351,78,0.262798634812287,0.913920159042281,0.999999999970122,0.184300341296928
