Gene,rank_manuscript_hoa2,p_value_manuscript_hoa2,adjusted_p_value_manuscript_hoa2,rank_manuscript_hoa3,p_value_manuscript_hoa3,adjusted_p_value_manuscript_hoa3,rank_official_default_hoa2,p_value_official_default_hoa2,adjusted_p_value_official_default_hoa2,rank_official_default_hoa3,p_value_official_default_hoa3,adjusted_p_value_official_default_hoa3,mean_rank_across_profiles_and_donors,max_rank_across_profiles_and_donors,fdr_significant_all_profiles_and_donors,top10_all_profiles_and_donors
CXCL3,30,0.798536569529548,0.999999999996351,90,0.982039442528098,0.999999999992947,15,0.941963911036291,0.999999999988552,75,0.989544956298941,0.999999999994531,52.5,90,False,False
ADAMTS9,56,0.908566638423816,0.999999999996351,49,0.871656497121595,0.999999999992947,76,0.990419138054851,0.999999999988552,30,0.924581890798452,0.999999999994531,52.75,76,False,False
CCL2,67,0.940022907175599,0.999999999996351,67,0.949925646386933,0.999999999992947,40,0.976269621362433,0.999999999988552,46,0.965038352547224,0.999999999994531,55.0,67,False,False
KCNQ1OT1,48,0.895683258024682,0.999999999996351,74,0.971987852127056,0.999999999992947,74,0.990222396579519,0.999999999988552,51,0.969971156490507,0.999999999994531,61.75,74,False,False
MIR22HG,95,0.970836205799754,0.999999999996351,46,0.859845850456353,0.999999999992947,83,0.992422867800064,0.999999999988552,27,0.909315220622882,0.999999999994531,62.75,95,False,False
VCAN,58,0.910438501506396,0.999999999996351,24,0.669938383595444,0.999999999992947,121,0.995842135136435,0.999999999988552,50,0.96905507436821,0.999999999994531,63.25,121,False,False
SEMA4A,27,0.793989266351243,0.999999999996351,110,0.989918517329693,0.999999999992947,44,0.97954196082049,0.999999999988552,77,0.989819468040717,0.999999999994531,64.5,110,False,False
PRDX2,125,0.981988392936813,0.999999999996351,23,0.65698143259857,0.999999999992947,88,0.992849633323663,0.999999999988552,44,0.959369033029366,0.999999999994531,70.0,125,False,False
ATP13A3,78,0.958742186505031,0.999999999996351,84,0.979284139545731,0.999999999992947,50,0.98407315089589,0.999999999988552,69,0.98534853276593,0.999999999994531,70.25,84,False,False
NSUN6,17,0.665006821948534,0.999999999996351,98,0.985267512305311,0.999999999992947,81,0.991576315878193,0.999999999988552,91,0.992864822218289,0.999999999994531,71.75,98,False,False
ANKRD29,80,0.961770887038153,0.999999999996351,83,0.97910489680908,0.999999999992947,46,0.98101716568949,0.999999999988552,79,0.990549224024603,0.999999999994531,72.0,83,False,False
B3GNT5,105,0.974908189400212,0.999999999996351,43,0.843037141835056,0.999999999992947,113,0.995367240249715,0.999999999988552,29,0.921362911777514,0.999999999994531,72.5,113,False,False
FIS1,18,0.668710287886948,0.999999999996351,72,0.967368984482161,0.999999999992947,108,0.99490331523262,0.999999999988552,92,0.992894859028381,0.999999999994531,72.5,108,False,False
NFE2L2,102,0.974007586679073,0.999999999996351,28,0.732810198342029,0.999999999992947,143,0.99735098767164,0.999999999988552,17,0.838780839389938,0.999999999994531,72.5,143,False,False
SYNJ2,146,0.988231832181975,0.999999999996351,50,0.872922300779257,0.999999999992947,77,0.99096215102104,0.999999999988552,25,0.901372485284006,0.999999999994531,74.5,146,False,False
ACKR1,42,0.87061186929642,0.999999999996351,19,0.632813152740097,0.999999999992947,201,0.999091023660189,0.999999999988552,39,0.951499728830361,0.999999999994531,75.25,201,False,False
NDUFA1,79,0.96079638153548,0.999999999996351,61,0.933581348010667,0.999999999992947,99,0.994031656856964,0.999999999988552,73,0.988080763330824,0.999999999994531,78.0,99,False,False
PRDX5,59,0.913423626363277,0.999999999996351,96,0.984668763746319,0.999999999992947,82,0.992172868983237,0.999999999988552,76,0.989599213540965,0.999999999994531,78.25,96,False,False
RGS16,45,0.876834332004641,0.999999999996351,97,0.98475691703152,0.999999999992947,38,0.975287737717276,0.999999999988552,140,0.99695434570498,0.999999999994531,80.0,140,False,False
ATP5F1A,161,0.990428111371327,0.999999999996351,21,0.646827034841608,0.999999999992947,78,0.991000703708612,0.999999999988552,61,0.981339249400839,0.999999999994531,80.25,161,False,False
ATP5MC1,77,0.95482097989204,0.999999999996351,29,0.739377304984942,0.999999999992947,163,0.998090205848935,0.999999999988552,58,0.979571047472114,0.999999999994531,81.75,163,False,False
SEMA3A,119,0.980229984882926,0.999999999996351,38,0.812503566700554,0.999999999992947,85,0.992622649594105,0.999999999988552,98,0.993438548790819,0.999999999994531,85.0,119,False,False
BTNL9,60,0.915720553016241,0.999999999996351,123,0.992486304213335,0.999999999992947,37,0.974218440158749,0.999999999988552,121,0.995686427386508,0.999999999994531,85.25,123,False,False
CAT,36,0.835907889027972,0.999999999996351,62,0.935998098456342,0.999999999992947,192,0.998917468654722,0.999999999988552,52,0.970787734053342,0.999999999994531,85.5,192,False,False
ANKRD42,64,0.927456979159549,0.999999999996351,130,0.993598997216288,0.999999999992947,73,0.990150105557423,0.999999999988552,81,0.990666871825488,0.999999999994531,87.0,130,False,False
CREB5,103,0.974492014788843,0.999999999996351,105,0.988529714499159,0.999999999992947,65,0.987939228103831,0.999999999988552,78,0.989859136362249,0.999999999994531,87.75,105,False,False
IER3,44,0.874806569731483,0.999999999996351,161,0.996133738832683,0.999999999992947,41,0.977626422310734,0.999999999988552,117,0.995411083970461,0.999999999994531,90.75,161,False,False
KDR,11,0.554632363800291,0.999999999996351,181,0.997701346865361,0.999999999992947,72,0.990150091242672,0.999999999988552,99,0.99366206773907,0.999999999994531,90.75,181,False,False
HES1,13,0.615161881479563,0.999999999996351,200,0.998379525785477,0.999999999992947,16,0.942728922176875,0.999999999988552,135,0.996726829280377,0.999999999994531,91.0,200,False,False
GIGYF2,132,0.983531411549569,0.999999999996351,81,0.978322486747885,0.999999999992947,58,0.986446525659052,0.999999999988552,95,0.993139083880429,0.999999999994531,91.5,132,False,False
PHLDA1,116,0.979254121815216,0.999999999996351,53,0.885166850538977,0.999999999992947,159,0.997977881616085,0.999999999988552,38,0.944838127397073,0.999999999994531,91.5,159,False,False
CLDN5,166,0.990813097501514,0.999999999996351,71,0.966208391284198,0.999999999992947,62,0.98742654660711,0.999999999988552,71,0.98690541801253,0.999999999994531,92.5,166,False,False
PIM1,124,0.981977343762151,0.999999999996351,58,0.901189737883007,0.999999999992947,146,0.997493980053778,0.999999999988552,45,0.960996252113713,0.999999999994531,93.25,146,False,False
HSPE1,88,0.966615136685956,0.999999999996351,35,0.78852081603356,0.999999999992947,144,0.997355061569821,0.999999999988552,107,0.994554824110654,0.999999999994531,93.5,144,False,False
HIF1A,128,0.982168788795978,0.999999999996351,33,0.771983548619415,0.999999999992947,193,0.998954851007342,0.999999999988552,22,0.880896350824788,0.999999999994531,94.0,193,False,False
LTBP4,83,0.962685962066163,0.999999999996351,141,0.994268941530968,0.999999999992947,51,0.984266778242956,0.999999999988552,104,0.994152784355637,0.999999999994531,94.75,141,False,False
DEPP1,134,0.984985422316208,0.999999999996351,82,0.97882833699888,0.999999999992947,69,0.98863548612115,0.999999999988552,96,0.993181042176055,0.999999999994531,95.25,134,False,False
BMP4,73,0.945083861714226,0.999999999996351,41,0.837402861652397,0.999999999992947,209,0.999193889314358,0.999999999988552,59,0.979874283316496,0.999999999994531,95.5,209,False,False
CR381670.1,86,0.964934737733408,0.999999999996351,64,0.941238019231284,0.999999999992947,153,0.997776738448885,0.999999999988552,80,0.990587672621766,0.999999999994531,95.75,153,False,False
ADAMTS1,70,0.943760559555699,0.999999999996351,133,0.993752123967228,0.999999999992947,30,0.96876702426004,0.999999999988552,160,0.9981740162672,0.999999999994531,98.25,160,False,False
NFKB1,99,0.972612359683548,0.999999999996351,77,0.973586537576705,0.999999999992947,154,0.997830866235742,0.999999999988552,65,0.983409216526264,0.999999999994531,98.75,154,False,False
BIRC3,187,0.993484902802622,0.999999999996351,47,0.861917167113405,0.999999999992947,130,0.996584856893405,0.999999999988552,34,0.932963239192207,0.999999999994531,99.5,187,False,False
WWTR1,123,0.981797224433918,0.999999999996351,76,0.972843252787787,0.999999999992947,142,0.997293340162921,0.999999999988552,64,0.983250306185036,0.999999999994531,101.25,142,False,False
CXCL12,180,0.99297352859471,0.999999999996351,87,0.981309119413157,0.999999999992947,56,0.9861708317935,0.999999999988552,87,0.99229909609254,0.999999999994531,102.5,180,False,False
CALCOCO2,113,0.976623426789838,0.999999999996351,30,0.751620616984491,0.999999999992947,242,0.999578842523004,0.999999999988552,32,0.930169575323794,0.999999999994531,104.25,242,False,False
AC010359.3,41,0.862708154524516,0.999999999996351,179,0.997659134912937,0.999999999992947,53,0.984854116164913,0.999999999988552,148,0.997740874749535,0.999999999994531,105.25,179,False,False
GPX4,150,0.989004372503257,0.999999999996351,106,0.988607216815998,0.999999999992947,93,0.993433406504923,0.999999999988552,82,0.990801169226683,0.999999999994531,107.75,150,False,False
SEMA3G,107,0.975535196316895,0.999999999996351,152,0.995635170478763,0.999999999992947,66,0.987959370553763,0.999999999988552,110,0.995175443785886,0.999999999994531,108.75,152,False,False
VEGFC,129,0.98267127469846,0.999999999996351,103,0.987248627308867,0.999999999992947,117,0.995641177367994,0.999999999988552,86,0.991987773257499,0.999999999994531,108.75,129,False,False
RCAN1,148,0.988713287376212,0.999999999996351,115,0.991153444451557,0.999999999992947,105,0.994708919762825,0.999999999988552,72,0.987015339075515,0.999999999994531,110.0,148,False,False
PRDX1,220,0.996946634035416,0.999999999996351,34,0.778699210750812,0.999999999992947,127,0.99615691085689,0.999999999988552,68,0.984379424780889,0.999999999994531,112.25,220,False,False
DDHD1,68,0.941159910567406,0.999999999996351,143,0.994598771027128,0.999999999992947,67,0.988362375542518,0.999999999988552,176,0.998644999662499,0.999999999994531,113.5,176,False,False
COX4I1,76,0.953950641362829,0.999999999996351,150,0.995508098928653,0.999999999992947,54,0.985051282565732,0.999999999988552,177,0.998657776804681,0.999999999994531,114.25,177,False,False
CNKSR3,82,0.962579874130817,0.999999999996351,137,0.994075972611764,0.999999999992947,100,0.994078987346313,0.999999999988552,143,0.997097671757895,0.999999999994531,115.5,143,False,False
CDH13,98,0.971966609871498,0.999999999996351,149,0.995110004671067,0.999999999992947,75,0.990279330223477,0.999999999988552,144,0.997540551235395,0.999999999994531,116.5,149,False,False
GADD45G,142,0.987328769840231,0.999999999996351,91,0.982942402568764,0.999999999992947,149,0.997662410529869,0.999999999988552,85,0.991737730361513,0.999999999994531,116.75,149,False,False
EMCN,254,0.999177625748618,0.999999999996351,22,0.649592952698025,0.999999999992947,141,0.997257141399638,0.999999999988552,53,0.971665903355349,0.999999999994531,117.5,254,False,False
CD300LG,54,0.906601589487548,0.999999999996351,85,0.979606494281592,0.999999999992947,178,0.998524483613545,0.999999999988552,155,0.997953363404481,0.999999999994531,118.0,178,False,False
FUT8,133,0.983717915124197,0.999999999996351,125,0.992851708272445,0.999999999992947,102,0.99440541604033,0.999999999988552,112,0.995238404728856,0.999999999994531,118.0,133,False,False
MMP2,85,0.964899268382077,0.999999999996351,158,0.995955952145475,0.999999999992947,61,0.987167768287238,0.999999999988552,169,0.998463398202134,0.999999999994531,118.25,169,False,False
GCNT2,151,0.989025722678869,0.999999999996351,116,0.99134609013925,0.999999999992947,91,0.993094878719619,0.999999999988552,118,0.995459346751459,0.999999999994531,119.0,151,False,False
ARL15,97,0.97196222339184,0.999999999996351,124,0.992776018322414,0.999999999992947,95,0.993746099760291,0.999999999988552,162,0.998262529791941,0.999999999994531,119.5,162,False,False
EFNB1,108,0.975690017096338,0.999999999996351,144,0.994967147152114,0.999999999992947,79,0.991424365081768,0.999999999988552,149,0.99787343659866,0.999999999994531,120.0,149,False,False
SOD1,221,0.996955749745169,0.999999999996351,25,0.695948113666548,0.999999999992947,155,0.997842488395185,0.999999999988552,84,0.991009481979557,0.999999999994531,121.25,221,False,False
RND1,66,0.93174379881996,0.999999999996351,169,0.99659909870166,0.999999999992947,63,0.987442591871085,0.999999999988552,193,0.999206010493282,0.999999999994531,122.75,193,False,False
TEK,224,0.997157949235992,0.999999999996351,18,0.625255311896074,0.999999999992947,196,0.998986079974073,0.999999999988552,54,0.975686005749549,0.999999999994531,123.0,224,False,False
JAG2,199,0.995368996345222,0.999999999996351,109,0.989897126857391,0.999999999992947,80,0.9914971057845,0.999999999988552,108,0.994723171092631,0.999999999994531,124.0,199,False,False
SRGN,94,0.970236875711478,0.999999999996351,138,0.99414391414137,0.999999999992947,116,0.995630653787368,0.999999999988552,153,0.997950816424106,0.999999999994531,125.25,153,False,False
FAM107A,130,0.982788483238986,0.999999999996351,148,0.995094232199542,0.999999999992947,84,0.992620235769355,0.999999999988552,142,0.997068819474347,0.999999999994531,126.0,148,False,False
FILIP1,87,0.965328648023266,0.999999999996351,168,0.996576105887552,0.999999999992947,87,0.992769447524633,0.999999999988552,164,0.998295481467952,0.999999999994531,126.5,168,False,False
PMPCB,211,0.996460181985429,0.999999999996351,48,0.870676624145197,0.999999999992947,160,0.997981349846942,0.999999999988552,89,0.992608431079177,0.999999999994531,127.0,211,False,False
PLEKHG2,177,0.992458489359821,0.999999999996351,100,0.985763315618523,0.999999999992947,162,0.99804687735729,0.999999999988552,70,0.985812478643928,0.999999999994531,127.25,177,False,False
PPP1R14A,195,0.99514642102032,0.999999999996351,126,0.993199201501829,0.999999999992947,57,0.986339645046176,0.999999999988552,132,0.996536207854925,0.999999999994531,127.5,195,False,False
COX6C,91,0.969479565464501,0.999999999996351,157,0.995891114378569,0.999999999992947,132,0.996859121895788,0.999999999988552,134,0.996682202489815,0.999999999994531,128.5,157,False,False
H19,203,0.996065333289301,0.999999999996351,102,0.987214216615741,0.999999999992947,107,0.99483375504462,0.999999999988552,103,0.994038168567175,0.999999999994531,128.75,203,False,False
PMAIP1,93,0.970101172678968,0.999999999996351,142,0.994306504475607,0.999999999992947,180,0.998578692244294,0.999999999988552,101,0.993898456134477,0.999999999994531,129.0,180,False,False
SOX17,101,0.973565329180114,0.999999999996351,166,0.996527504195477,0.999999999992947,98,0.99402383190583,0.999999999988552,151,0.997908983459495,0.999999999994531,129.0,166,False,False
DGKE,137,0.986281812461613,0.999999999996351,182,0.997703898378926,0.999999999992947,86,0.992648758525808,0.999999999988552,120,0.995652879787735,0.999999999994531,131.25,182,False,False
IL32,226,0.997351937627822,0.999999999996351,112,0.990331100444484,0.999999999992947,97,0.994013291102997,0.999999999988552,90,0.992812620523377,0.999999999994531,131.25,226,False,False
UQCRC2,92,0.969571540993228,0.999999999996351,177,0.997579072139357,0.999999999992947,68,0.988438618014672,0.999999999988552,190,0.999077349845155,0.999999999994531,131.75,190,False,False
VDAC3,225,0.997222260955005,0.999999999996351,94,0.984307763471436,0.999999999992947,156,0.9979032184571,0.999999999988552,60,0.981132877800174,0.999999999994531,133.75,225,False,False
KIAA0040,162,0.990597092811873,0.999999999996351,104,0.987629657694072,0.999999999992947,204,0.999128057968381,0.999999999988552,67,0.983666835150857,0.999999999994531,134.25,204,False,False
TSPAN13,111,0.976399534856083,0.999999999996351,197,0.998323564521001,0.999999999992947,52,0.984747756503628,0.999999999988552,184,0.99893945805451,0.999999999994531,136.0,197,False,False
