cluster,top_panel,second_panel,top_score,second_score,top_two_margin
0,typeH_EMCN_KDR,venous_ACKR1,1.2824268341064453,1.2820106744766235,0.00041615962982177734
1,typeH_EMCN_KDR,typeR_bone_remodel,0.9721643328666687,0.9333087801933289,0.038855552673339844
2,lymphatic,typeR_bone_remodel,2.1320526599884033,0.955801248550415,1.1762514114379883
3,venous_ACKR1,typeH_EMCN_KDR,1.6264808177947998,0.9887205362319946,0.6377602815628052
4,typeR_bone_remodel,typeH_EMCN_KDR,1.0427123308181763,0.902051568031311,0.14066076278686523
5,typeH_EMCN_KDR,typeR_bone_remodel,1.0758613348007202,1.026147484779358,0.049713850021362305
6,typeH_EMCN_KDR,typeR_bone_remodel,0.9260607957839966,0.7977710962295532,0.12828969955444336
7,typeH_EMCN_KDR,typeR_bone_remodel,1.2583979368209839,0.9639452695846558,0.2944526672363281
8,typeR_bone_remodel,typeH_EMCN_KDR,1.239572525024414,1.2364187240600586,0.0031538009643554688
9,typeR_bone_remodel,typeH_EMCN_KDR,1.2753965854644775,1.1279319524765015,0.14746463298797607
10,typeH_EMCN_KDR,venous_ACKR1,1.2816777229309082,1.1312752962112427,0.15040242671966553
11,typeH_EMCN_KDR,venous_ACKR1,0.8817831873893738,0.798401951789856,0.08338123559951782
12,typeH_EMCN_KDR,venous_ACKR1,1.2627531290054321,0.9376283288002014,0.3251248002052307
