sample,dataset,group,Ambiguous,lymphatic,typeH_EMCN_KDR
onfh1,liao_alcohol,ONFH_3A,75.26690391459074,0.0,24.733096085409255
onfh2,liao_alcohol,ONFH_3A,80.95238095238095,0.0,19.047619047619047
onfh3,liao_alcohol,ONFH_3A,68.58006042296071,0.0,31.419939577039273
onfh4,liao_alcohol,ONFH_4,66.66666666666666,1.3333333333333335,32.0
onfh5,liao_alcohol,ONFH_4,83.43949044585987,0.3184713375796179,16.24203821656051
onfh6,liao_alcohol,ONFH_4,78.46153846153847,0.0,21.53846153846154
hoa1,liao_alcohol,HOA,100.0,0.0,0.0
hoa2,liao_alcohol,HOA,86.48130393096835,0.0,13.518696069031638
hoa3,liao_alcohol,HOA,90.78947368421053,0.0,9.210526315789473
fnf1,liao_alcohol,FNF,71.42857142857143,0.0,28.57142857142857
fnf2,liao_alcohol,FNF,82.56880733944955,0.0,17.431192660550458
S1,healthy,Healthy,86.20689655172413,0.0,13.793103448275861
S2,healthy,Healthy,86.0655737704918,0.0,13.934426229508196
S3,healthy,Healthy,76.19047619047619,0.0,23.809523809523807
S4,healthy,Healthy,86.20689655172413,0.0,13.793103448275861
AL,sonfh_cystic,SONFH,63.78012048192772,2.33433734939759,33.8855421686747
bone,sonfh_cystic,SONFH,59.06040268456376,0.0,40.939597315436245
DWR,sonfh_cystic,SONFH,53.72270455143383,0.0,46.27729544856617
WXJ,sonfh_cystic,SONFH,55.08586525759577,0.0,44.91413474240423
