margin_threshold,ambiguous_clusters,total_clusters,ambiguous_cells,ambiguous_cells_percent,typeH_exact_omnibus_p
0.1,6,9,8863,66.01370475197378,0.07142857142857142
0.15,7,9,9422,70.17726798748697,0.23214285714285715
0.2,7,9,9422,70.17726798748697,0.23214285714285715
