analysis,test,group_a,group_b,n_a,n_b,median_a,median_b,median_difference_percentage_points,hodges_lehmann,rank_biserial,exact_p
no_ComBat,Liao_exact_Kruskal_Wallis,HOA_ONFH_3A_ONFH_4,,9,,,,,,,0.8285714285714286
no_ComBat,exact_Mann_Whitney,ONFH_3A,HOA,3,3.0,49.2063492063492,69.23076923076923,-20.024420024420024,-20.024420024420024,-0.33333333333333337,0.7
no_ComBat,exact_Mann_Whitney,ONFH_4,ONFH_3A,3,3.0,62.46153846153846,49.2063492063492,13.255189255189258,13.255189255189258,0.33333333333333326,0.7
no_ComBat,exact_Mann_Whitney,ONFH_4,HOA,3,3.0,62.46153846153846,69.23076923076923,-6.7692307692307665,-4.141803553469657,-0.11111111111111116,1.0
