"donor","rank","Gene","Distance","Z","FC","p_value","adjusted_p_value"
"hoa3",54,"SOD2",6.23413848840522e-06,1.0237216736404,0.0206920156134856,0.885621133884094,0.999999999992947
"hoa3",55,"AKAP12",5.70221741708228e-06,0.988397375894512,0.0173116096409713,0.895321575844958,0.999999999992947
"hoa3",56,"HMOX1",5.5571268640234e-06,0.978248678786409,0.0164418442128113,0.897970318863589,0.999999999992947
"hoa3",57,"PECAM1",5.47623662618585e-06,0.972486860475464,0.0159666688177077,0.899447529902444,0.999999999992947
"hoa3",58,"PIM1",5.38085997566414e-06,0.965594174355517,0.015415346371178,0.901189737883007,0.999999999992947
"hoa3",59,"SLC25A44",4.5430397091413e-06,0.899826004451655,0.0109886153582752,0.916513405266223,0.999999999992947
"hoa3",60,"MT2A",4.26227034527738e-06,0.875330125964564,0.00967234749801073,0.921655890150526,0.999999999992947
"hoa3",61,"NDUFA1",3.61183201786179e-06,0.812487364303126,0.00694552363005917,0.933581348010667,0.999999999992947
"hoa3",62,"CAT",3.48012143766896e-06,0.798534467147108,0.00644820303391587,0.935998098456342,0.999999999992947
"hoa3",63,"CCL23",3.35967310778357e-06,0.785353183494378,0.00600957766639864,0.938208715383099,0.999999999992947
"hoa3",64,"CR381670.1",3.19465950799929e-06,0.766588518645295,0.0054337425825424,0.941238019231284,0.999999999992947
"hoa3",65,"HSPD1",2.95414726120279e-06,0.737616785852976,0.00464637424469578,0.94565483101249,0.999999999992947
"hoa3",66,"VCAM1",2.73629480312008e-06,0.709484733069873,0.00398635229807866,0.949656960252777,0.999999999992947
"hoa3",67,"CCL2",2.72167164258188e-06,0.707525140680419,0.00394385884584114,0.949925646386933,0.999999999992947
"hoa3",68,"ATF3",2.61989381063995e-06,0.693618315647626,0.00365441011087452,0.951795869579112,0.999999999992947
"hoa3",69,"ICAM4",2.11769333725259e-06,0.616954496817247,0.00238767958694655,0.961027767370414,0.999999999992947
"hoa3",70,"F8",1.85397089239721e-06,0.569880847926985,0.00183001954794513,0.965877921259606,0.999999999992947
"hoa3",71,"CLDN5",1.83600451147082e-06,0.566459191363316,0.00179472285793584,0.966208391284198,0.999999999992947
"hoa3",72,"FIS1",1.77291001393494e-06,0.554199938848014,0.00167349065736965,0.967368984482161,0.999999999992947
"hoa3",73,"FMO2",1.6417226497153e-06,0.527402838023852,0.00143499201957994,0.96978233194185,0.999999999992947
"hoa3",74,"KCNQ1OT1",1.52184577073504e-06,0.501178373164624,0.00123307981754719,0.971987852127056,0.999999999992947
"hoa3",75,"MET",1.48048981472036e-06,0.491699561370744,0.00116697285473359,0.972748778312975,0.999999999992947
"hoa3",76,"WWTR1",1.4753552693126e-06,0.490506176955498,0.00115889244145011,0.972843252787787,0.999999999992947
"hoa3",77,"NFKB1",1.43495957718656e-06,0.48098501037531,0.00109629956147491,0.973586537576705,0.999999999992947
"hoa3",78,"HTRA2",1.41457322369078e-06,0.476088263867584,0.00106537075813874,0.973961657276944,0.999999999992947
"hoa3",79,"EGR3",1.332827764361e-06,0.455794258844035,0.000945797078320492,0.975465874032671,0.999999999992947
"hoa3",80,"FBLN2",1.23249574210282e-06,0.42929934127651,0.000808762044106147,0.977312225073473,0.999999999992947
"hoa3",81,"GIGYF2",1.1776002379843e-06,0.413971710575394,0.00073832177246845,0.978322486747885,0.999999999992947
"hoa3",82,"DEPP1",1.15011410984368e-06,0.406054586572602,0.000704257967586468,0.97882833699888,0.999999999992947
"hoa3",83,"ANKRD29",1.13508701621941e-06,0.401654057369963,0.000685974888929316,0.97910489680908,0.999999999992947
"hoa3",84,"ATP13A3",1.12534779490986e-06,0.398774005192132,0.000674253849481099,0.979284139545731,0.999999999992947
"hoa3",85,"CD300LG",1.10783267213587e-06,0.393537700846568,0.000653428758257088,0.979606494281592,0.999999999992947
"hoa3",86,"FAM184A",1.0360501824221e-06,0.371270059893204,0.000571493755149778,0.980927639742374,0.999999999992947
"hoa3",87,"CXCL12",1.01532358477149e-06,0.364582644296039,0.000548856554495691,0.981309119413157,0.999999999992947
"hoa3",88,"NR4A1",1.0068802064758e-06,0.361823204539578,0.000539765985359352,0.98146452372622,0.999999999992947
"hoa3",89,"TEAD4",9.95724877870595e-07,0.358145418427544,0.000527871994827973,0.981669843826413,0.999999999992947
"hoa3",90,"CXCL3",9.75644228530958e-07,0.351430803622618,0.000506795634988066,0.982039442528098,0.999999999992947
