"donor","rank","Gene","Distance","Z","FC","p_value","adjusted_p_value"
"hoa2",1,"SQSTM1",0.000841523735184077,3.92978814976613,225.2240098998,6.560743276661e-51,1.9682229829983e-48
"hoa2",2,"MT-ND1",0.000214113103221325,2.89039212150156,14.5803664303962,0.00013430661992022,0.0131917894827253
"hoa2",3,"MT-ATP6",0.000213468300818652,2.88827034912284,14.4926810070734,0.000140705164961609,0.0131917894827253
"hoa2",4,"MT-ND4",0.000210351539597066,2.8779332910064,14.0725673863222,0.000175890526436337,0.0131917894827253
"hoa2",5,"MT-CO2",0.000206929423950724,2.86642531675986,13.6184112344986,0.000223978146803888,0.0134386888082333
"hoa2",6,"MT-CO1",0.000174785814825051,2.74918270906964,9.71615230288079,0.00182655520237878,0.0913277601189391
"hoa2",7,"VWF",7.0023833021178e-05,2.15045247732892,1.5594580858894,0.211744584551328,0.999999999996351
"hoa2",8,"ENG",6.42320716050673e-05,2.09699605608962,1.31215701016557,0.252004488014306,0.999999999996351
"hoa2",9,"ICAM1",4.42183268037188e-05,1.8715761931178,0.621851315038259,0.430360156634065,0.999999999996351
"hoa2",10,"NFKBIA",4.40037968179399e-05,1.86870059708625,0.615831994671172,0.432600373046186,0.999999999996351
"hoa2",11,"KDR",3.31301745776828e-05,1.70351888387945,0.349083559459768,0.554632363800291,0.999999999996351
"hoa2",12,"SELE",2.93391268945966e-05,1.63435942656842,0.273763987452752,0.600817960715528,0.999999999996351
"hoa2",13,"HES1",2.81892996776359e-05,1.61180828725135,0.252726347055478,0.615161881479563,0.999999999996351
"hoa2",14,"CXCL2",2.60958533578152e-05,1.56856121195247,0.216583293392625,0.64165570085778,0.999999999996351
"hoa2",15,"EGR1",2.58449163193011e-05,1.56317178051613,0.212438001700306,0.644863197500372,0.999999999996351
"hoa2",16,"MIR222HG",2.4301253892918e-05,1.52895554413753,0.187818908600633,0.66473815442703,0.999999999996351
"hoa2",17,"NSUN6",2.42805150894668e-05,1.52848283166358,0.187498474323293,0.665006821948534,0.999999999996351
"hoa2",18,"FIS1",2.39949763220225e-05,1.52193757209076,0.183114442169978,0.668710287886948,0.999999999996351
"hoa2",19,"NR4A1",2.34588633776228e-05,1.50945903131932,0.175023304343803,0.675685487184511,0.999999999996351
"hoa2",20,"MCL1",2.33132122656034e-05,1.50602503630069,0.172856686103817,0.677585359940396,0.999999999996351
"hoa2",21,"ICAM4",2.20122934491425e-05,1.47447667312423,0.154103511351701,0.694644339497901,0.999999999996351
"hoa2",22,"C7",2.07140602338942e-05,1.4412937745039,0.136462215049074,0.711823691793984,0.999999999996351
"hoa2",23,"ADGRG6",2.06735436726347e-05,1.44022868750855,0.135928898807845,0.712362258056428,0.999999999996351
"hoa2",24,"KDM6B",1.90770323527348e-05,1.39670578397126,0.115745357144088,0.733695606798766,0.999999999996351
"hoa2",25,"NR4A2",1.70364814343478e-05,1.33609206101859,0.0923085131151859,0.761262620466661,0.999999999996351
"hoa2",26,"SLC25A44",1.55713471189829e-05,1.28844649630752,0.0771141932077511,0.78124694120034,0.999999999996351
"hoa2",27,"SEMA4A",1.46427364637489e-05,1.25613818942629,0.0681909026255592,0.793989266351243,0.999999999996351
"hoa2",28,"CKS2",1.45230071248198e-05,1.25184069005602,0.0670803079555961,0.795636271303548,0.999999999996351
"hoa2",29,"ADAMTS4",1.43158635461741e-05,1.24433057176274,0.0651804038938131,0.798487900126591,0.999999999996351
"hoa2",30,"CXCL3",1.43123298823109e-05,1.24420161980455,0.0651482301851431,0.798536569529548,0.999999999996351
"hoa2",31,"LRG1",1.38111523795898e-05,1.22561898888958,0.0606654999036123,0.805447165977063,0.999999999996351
"hoa2",32,"AKAP12",1.37227287204547e-05,1.22227830661279,0.0598911845650112,0.806668010431437,0.999999999996351
"hoa2",33,"SOD2",1.30354391094146e-05,1.19563856408582,0.0540422319971978,0.816173100630084,0.999999999996351
"hoa2",34,"FKBP8",1.27869518966501e-05,1.18569864485601,0.0520015165843944,0.819616379959725,0.999999999996351
"hoa2",35,"EGR3",1.25904488119737e-05,1.17771571581853,0.0504155338454197,0.822341785114794,0.999999999996351
"hoa2",36,"CAT",1.16145723872464e-05,1.1363483129147,0.0429030726688519,0.835907889027972,0.999999999996351
"hoa2",37,"TIPARP",1.1455721013642e-05,1.12932376364428,0.0417375357373868,0.838120894912733,0.999999999996351
"hoa2",38,"PECAM1",1.08658282949923e-05,1.10245604246175,0.0375497995247558,0.846349943791768,0.999999999996351
"hoa2",39,"ATF3",1.03733605307872e-05,1.0790123750229,0.034223221756758,0.853232805244475,0.999999999996351
"hoa2",40,"TNFAIP3",9.72537124315919e-06,1.04660777163092,0.0300811422815396,0.862306246133662,0.999999999996351
"hoa2",41,"AC010359.3",9.69669918713152e-06,1.04513000163302,0.0299040350443846,0.862708154524516,0.999999999996351
"hoa2",42,"ACKR1",9.13335501870388e-06,1.01527657535508,0.0265303283719161,0.87061186929642,0.999999999996351
"hoa2",43,"SERPINE1",9.1321544137482e-06,1.01521122082988,0.0265233538592408,0.870628727874287,0.999999999996351
"hoa2",44,"IER3",8.83475172412193e-06,0.998781732066812,0.0248239361575199,0.874806569731483,0.999999999996351
"hoa2",45,"RGS16",8.69049405472001e-06,0.990634465214237,0.024019882603784,0.876834332004641,0.999999999996351
"hoa2",46,"MAP1LC3B",8.52639479408756e-06,0.981218973205439,0.023121330538214,0.87914198062507,0.999999999996351
"hoa2",47,"MTCH2",7.69396119598117e-06,0.930817993444648,0.0188270350079523,0.890863508076944,0.999999999996351
"hoa2",48,"KCNQ1OT1",7.35217636939407e-06,0.908706102490619,0.0171915003423089,0.895683258024682,0.999999999996351
"hoa2",49,"LINC00472",7.34376876304799e-06,0.908150730413274,0.0171522040262588,0.895801868920168,0.999999999996351
"hoa2",50,"IRF3",7.32187257434502e-06,0.906701697724722,0.0170500744491132,0.89611078186139,0.999999999996351
"hoa2",51,"UQCRB",6.97764764334324e-06,0.883399714014899,0.0154846008980157,0.900969171298932,0.999999999996351
"hoa2",52,"C11orf96",6.90002702091613e-06,0.87800418849699,0.0151420100398471,0.902065227904422,0.999999999996351
"hoa2",53,"MT2A",6.75428617091955e-06,0.867725944997741,0.0145091129406875,0.904123691778485,0.999999999996351
"hoa2",54,"CD300LG",6.57890948775847e-06,0.855092720821615,0.0137654296028431,0.906601589487548,0.999999999996351
"hoa2",55,"RPL32P3",6.45496474634167e-06,0.845982364510878,0.0132516420499826,0.908353355021826,0.999999999996351
"hoa2",56,"ADAMTS9",6.43987621876792e-06,0.844862699852773,0.0131897628346408,0.908566638423816,0.999999999996351
"hoa2",57,"BNIP3",6.41500375910923e-06,0.843011899076259,0.0130880750682164,0.908918236667689,0.999999999996351
"hoa2",58,"VCAN",6.30747295795734e-06,0.834936140512461,0.0126529776631666,0.910438501506396,0.999999999996351
"hoa2",59,"PRDX5",6.09639732405984e-06,0.818721147992656,0.0118202993286469,0.913423626363277,0.999999999996351
"hoa2",60,"BTNL9",5.93404254123872e-06,0.805905381849506,0.0111991034860043,0.915720553016241,0.999999999996351
"hoa2",61,"HMOX1",5.66960928529729e-06,0.784347992748542,0.0102232318204495,0.919463140975581,0.999999999996351
"hoa2",62,"HBEGF",5.25951179820641e-06,0.749076729631861,0.00879777425752889,0.925270850791,0.999999999996351
"hoa2",63,"C2CD4B",5.24197921555496e-06,0.747514897939599,0.00873921725913631,0.925519234368921,0.999999999996351
"hoa2",64,"ANKRD42",5.10521761986988e-06,0.735169819250824,0.00828915891601676,0.927456979159549,0.999999999996351
"hoa2",65,"FLT1",5.09804028337846e-06,0.734513846564033,0.00826586813143097,0.927558685236726,0.999999999996351
"hoa2",66,"RND1",4.80277038836825e-06,0.706788368362259,0.00733610596016184,0.93174379881996,0.999999999996351
"hoa2",67,"CCL2",4.21904341287629e-06,0.647194327560882,0.00566121873513308,0.940022907175599,0.999999999996351
"hoa2",68,"DDHD1",4.13891494410066e-06,0.638448129850722,0.00544822393873813,0.941159910567406,0.999999999996351
"hoa2",69,"TMEM161B-AS1",4.01889066363367e-06,0.625061092958647,0.00513681977849487,0.942863249432209,0.999999999996351
"hoa2",70,"ADAMTS1",3.95566993108747e-06,0.617866000995987,0.00497647743269415,0.943760559555699,0.999999999996351
"hoa2",71,"TRDMT1",3.92994642283108e-06,0.614909109234184,0.00491196435071624,0.94412568123268,0.999999999996351
"hoa2",72,"RRN3P1",3.90722896551118e-06,0.612283403263333,0.00485534026096811,0.944448144529662,0.999999999996351
"hoa2",73,"BMP4",3.86244472621218e-06,0.607067161400115,0.00474467535268327,0.945083861714226,0.999999999996351
"hoa2",74,"YME1L1",3.85131990941966e-06,0.605763056152891,0.00471738298597851,0.9452417851464,0.999999999996351
"hoa2",75,"MSX1",3.29911304422341e-06,0.536395428253854,0.00346159568406131,0.953083270438305,0.999999999996351
"hoa2",76,"COX4I1",3.23805235887837e-06,0.528101613089705,0.00333464557012168,0.953950641362829,0.999999999996351
"hoa2",77,"ATP5MC1",3.17678662081614e-06,0.519638868514078,0.00320965266096835,0.95482097989204,0.999999999996351
"hoa2",78,"ATP13A3",2.90080709598771e-06,0.479618404890378,0.00267620664759179,0.958742186505031,0.999999999996351
"hoa2",79,"NDUFA1",2.75625869463954e-06,0.457284823443181,0.00241613891617906,0.96079638153548,0.999999999996351
"hoa2",80,"ANKRD29",2.68769172198335e-06,0.446324064624819,0.00229742241653219,0.961770887038153,0.999999999996351
"hoa2",81,"COX5A",2.65380950322023e-06,0.440815665464372,0.0022398629021258,0.962252457965894,0.999999999996351
"hoa2",82,"CNKSR3",2.63077381177511e-06,0.437034788756243,0.00220114659299855,0.962579874130817,0.999999999996351
"hoa2",83,"LTBP4",2.62330998450022e-06,0.435803421104189,0.00218867446605794,0.962685962066163,0.999999999996351
"hoa2",84,"CYP1B1",2.51170217698253e-06,0.41700863776941,0.0020064032881863,0.964272389751799,0.999999999996351
